+-------------------------------------------------------------------------------------------------------+
|                         Number of non zero first digits in data set:2020-05-13                        |
+---------------+------------------------+-------------------------+-----------------+------------------+
|    Country    | Daily cumulative cases | Daily cumulative deaths | Daily new cases | Daily new deaths |
+---------------+------------------------+-------------------------+-----------------+------------------+
|   australia   |           80           |            57           |        69       |        35        |
|     canada    |           63           |            38           |        62       |        37        |
|    estonia    |           56           |            33           |        51       |        22        |
|    hungary    |           54           |            43           |        52       |        34        |
|      iran     |           68           |            68           |        67       |        66        |
|     kuwait    |           63           |            22           |        58       |        12        |
|     qatar     |           54           |            27           |        50       |        8         |
|    slovakia   |           48           |            26           |        46       |        10        |
|  switzerland  |           62           |            53           |        61       |        48        |
|    austria    |           58           |            46           |        56       |        39        |
|    finland    |           86           |            0            |        58       |        0         |
|    iceland    |           58           |            40           |        55       |        7         |
|    ireland    |           55           |            47           |        54       |        38        |
|     norway    |           61           |            46           |        60       |        35        |
|    romania    |           55           |            36           |        53       |        35        |
|    slovenia   |           54           |            44           |        53       |        31        |
|    thailand   |           96           |            57           |        67       |        26        |
|    belgium    |           58           |            48           |        57       |        44        |
| czechrepublic |           57           |            36           |        56       |        31        |
|     france    |           62           |            62           |        61       |        55        |
|     india     |           57           |            46           |        56       |        39        |
|   luxembourg  |           53           |            45           |        50       |        29        |
|    pakistan   |           48           |            39           |        47       |        36        |
|     russia    |           53           |            33           |        51       |        31        |
|   southkorea  |           93           |            67           |        84       |        61        |
|     turkey    |           47           |            43           |        45       |        41        |
|     japan     |          101           |            73           |        85       |        50        |
|     brazil    |           61           |            41           |        54       |        40        |
|    denmark    |           60           |            46           |        58       |        43        |
|    germany    |           63           |            49           |        62       |        43        |
|   india.bak   |           59           |            16           |        28       |        9         |
|     italy     |           67           |            66           |        66       |        65        |
|     poland    |           54           |            46           |        52       |        39        |
|  saudiarabia  |           54           |            35           |        53       |        30        |
|     spain     |           61           |            61           |        60       |        53        |
|       uk      |           60           |            53           |        59       |        50        |
|   newzealand  |           44           |            29           |        42       |        11        |
|     china     |           80           |            0            |        79       |        0         |
|    lombardy   |           65           |            0            |        64       |        0         |
|     israel    |           66           |            38           |        60       |        32        |
|    malaysia   |           93           |            41           |        66       |        37        |
|    bulgaria   |           50           |            47           |        48       |        27        |
|     egypt     |           46           |            25           |        43       |        24        |
|     greece    |           61           |            46           |        57       |        40        |
|   indonesia   |           56           |            47           |        50       |        43        |
|     japan     |          101           |            73           |        85       |        50        |
|  netherlands  |           60           |            52           |        59       |        48        |
|    portugal   |           56           |            42           |        55       |        40        |
|   singapore   |           95           |            37           |        84       |        10        |
|     sweden    |           62           |            47           |        60       |        45        |
|       us      |           60           |            57           |        58       |        55        |
+---------------+------------------------+-------------------------+-----------------+------------------+
