+----------------------------------------------------------------------------------------------------+
|                         Covid-19 data for belgium collected on :2020-05-13                         |
+------------+------------------------+-------------------------+-----------------+------------------+
|    Date    | Daily cumulative cases | Daily cumulative deaths | Daily new cases | Daily new deaths |
+------------+------------------------+-------------------------+-----------------+------------------+
| 2020-02-04 |          1.0           |            0            |        0        |        0         |
| 2020-03-01 |          2.0           |            0            |       1.0       |        0         |
| 2020-03-02 |          8.0           |            0            |       6.0       |        0         |
| 2020-03-03 |          13.0          |            0            |       5.0       |        0         |
| 2020-03-04 |          23.0          |            0            |       10.0      |        0         |
| 2020-03-05 |          50.0          |            0            |       27.0      |        0         |
| 2020-03-06 |         109.0          |            0            |       59.0      |        0         |
| 2020-03-07 |         169.0          |            0            |       60.0      |        0         |
| 2020-03-08 |         200.0          |            0            |       31.0      |        0         |
| 2020-03-09 |         239.0          |            0            |       39.0      |        0         |
| 2020-03-10 |         267.0          |           1.0           |       28.0      |        0         |
| 2020-03-11 |         314.0          |           3.0           |       47.0      |       2.0        |
| 2020-03-12 |         399.0          |           3.0           |       85.0      |       0.0        |
| 2020-03-13 |         559.0          |           3.0           |      160.0      |       0.0        |
| 2020-03-14 |         689.0          |           4.0           |      130.0      |       1.0        |
| 2020-03-15 |         886.0          |           4.0           |      197.0      |       0.0        |
| 2020-03-16 |         1058.0         |           5.0           |      172.0      |       1.0        |
| 2020-03-17 |         1243.0         |           10.0          |      185.0      |       5.0        |
| 2020-03-18 |         1486.0         |           14.0          |      243.0      |       4.0        |
| 2020-03-19 |         1795.0         |           21.0          |      309.0      |       7.0        |
| 2020-03-20 |         2257.0         |           37.0          |      462.0      |       16.0       |
| 2020-03-21 |         2815.0         |           67.0          |      558.0      |       30.0       |
| 2020-03-22 |         3401.0         |           75.0          |      586.0      |       8.0        |
| 2020-03-23 |         3743.0         |           88.0          |      342.0      |       13.0       |
| 2020-03-24 |         4269.0         |          122.0          |      526.0      |       34.0       |
| 2020-03-25 |         4937.0         |          178.0          |      668.0      |       56.0       |
| 2020-03-26 |         6235.0         |          220.0          |      1298.0     |       42.0       |
| 2020-03-27 |         7284.0         |          289.0          |      1049.0     |       69.0       |
| 2020-03-28 |         9134.0         |          353.0          |      1850.0     |       64.0       |
| 2020-03-29 |        10386.0         |          431.0          |      1252.0     |       78.0       |
| 2020-03-30 |        11899.0         |          513.0          |      1513.0     |       82.0       |
| 2020-03-31 |        12775.0         |          705.0          |      876.0      |      192.0       |
| 2020-04-01 |        13964.0         |          828.0          |      1189.0     |      123.0       |
| 2020-04-02 |        15348.0         |          1011.0         |      1384.0     |      183.0       |
| 2020-04-03 |        16770.0         |          1143.0         |      1422.0     |      132.0       |
| 2020-04-04 |        18431.0         |          1283.0         |      1661.0     |      140.0       |
| 2020-04-05 |        19691.0         |          1447.0         |      1260.0     |      164.0       |
| 2020-04-06 |        20814.0         |          1632.0         |      1123.0     |      185.0       |
| 2020-04-07 |        22194.0         |          2035.0         |      1380.0     |      403.0       |
| 2020-04-08 |        23403.0         |          2240.0         |      1209.0     |      205.0       |
| 2020-04-09 |        24983.0         |          2523.0         |      1580.0     |      283.0       |
| 2020-04-10 |        26667.0         |          3019.0         |      1684.0     |      496.0       |
| 2020-04-11 |        28018.0         |          3346.0         |      1351.0     |      327.0       |
| 2020-04-12 |        29647.0         |          3600.0         |      1629.0     |      254.0       |
| 2020-04-13 |        30589.0         |          3903.0         |      942.0      |      303.0       |
| 2020-04-14 |        31119.0         |          4157.0         |      530.0      |      254.0       |
| 2020-04-15 |        33573.0         |          4440.0         |      2454.0     |      283.0       |
| 2020-04-16 |        34809.0         |          4857.0         |      1236.0     |      417.0       |
| 2020-04-17 |        36138.0         |          5163.0         |      1329.0     |      306.0       |
| 2020-04-18 |        37183.0         |          5453.0         |      1045.0     |      290.0       |
| 2020-04-19 |        38496.0         |          5683.0         |      1313.0     |      230.0       |
| 2020-04-20 |        39983.0         |          5828.0         |      1487.0     |      145.0       |
| 2020-04-21 |        40956.0         |          5998.0         |      973.0      |      170.0       |
| 2020-04-22 |        41889.0         |          6262.0         |      933.0      |      264.0       |
| 2020-04-23 |        42797.0         |          6490.0         |      908.0      |      228.0       |
| 2020-04-24 |        44293.0         |          6679.0         |      1496.0     |      189.0       |
| 2020-04-25 |        45325.0         |          6917.0         |      1032.0     |      238.0       |
| 2020-04-26 |        46134.0         |          7094.0         |      809.0      |      177.0       |
+------------+------------------------+-------------------------+-----------------+------------------+
