+----------------------------------------------------------------------------------------------------+
|                         Covid-19 data for canada collected on :2020-05-13                          |
+------------+------------------------+-------------------------+-----------------+------------------+
|    Date    | Daily cumulative cases | Daily cumulative deaths | Daily new cases | Daily new deaths |
+------------+------------------------+-------------------------+-----------------+------------------+
| 2020-01-31 |          4.0           |            0            |        0        |        0         |
| 2020-02-08 |          7.0           |            0            |       3.0       |        0         |
| 2020-02-16 |          8.0           |            0            |       1.0       |        0         |
| 2020-02-21 |          9.0           |            0            |       1.0       |        0         |
| 2020-02-24 |          10.0          |            0            |       1.0       |        0         |
| 2020-02-25 |          11.0          |            0            |       1.0       |        0         |
| 2020-02-26 |          12.0          |            0            |       1.0       |        0         |
| 2020-02-27 |          13.0          |            0            |       1.0       |        0         |
| 2020-02-29 |          15.0          |            0            |       2.0       |        0         |
| 2020-03-01 |          24.0          |            0            |       9.0       |        0         |
| 2020-03-03 |          33.0          |            0            |       9.0       |        0         |
| 2020-03-05 |          45.0          |            0            |       12.0      |        0         |
| 2020-03-06 |          51.0          |            0            |       6.0       |        0         |
| 2020-03-07 |          57.0          |            0            |       6.0       |        0         |
| 2020-03-08 |          62.0          |            0            |       5.0       |        0         |
| 2020-03-09 |          77.0          |            0            |       15.0      |        0         |
| 2020-03-11 |         103.0          |            0            |       26.0      |        0         |
| 2020-03-12 |         141.0          |            0            |       38.0      |        0         |
| 2020-03-13 |         179.0          |            0            |       38.0      |        0         |
| 2020-03-14 |         199.0          |            0            |       20.0      |        0         |
| 2020-03-15 |         253.0          |            0            |       54.0      |        0         |
| 2020-03-16 |         341.0          |            0            |       88.0      |        0         |
| 2020-03-17 |         440.0          |            0            |       99.0      |        0         |
| 2020-03-18 |         597.0          |            0            |      157.0      |        0         |
| 2020-03-19 |         873.0          |            0            |      276.0      |        0         |
| 2020-03-20 |         1004.0         |           12.0          |      131.0      |        0         |
| 2020-03-21 |         1371.0         |           18.0          |      367.0      |       6.0        |
| 2020-03-22 |         1471.0         |           20.0          |      100.0      |       2.0        |
| 2020-03-23 |         2091.0         |           24.0          |      620.0      |       4.0        |
| 2020-03-24 |         2792.0         |           27.0          |      701.0      |       3.0        |
| 2020-03-25 |         3409.0         |           35.0          |      617.0      |       8.0        |
| 2020-03-26 |         4043.0         |           39.0          |      634.0      |       4.0        |
| 2020-03-27 |         4689.0         |           53.0          |      646.0      |       14.0       |
| 2020-03-28 |         5425.0         |           59.0          |      736.0      |       6.0        |
| 2020-03-29 |         6258.0         |           61.0          |      833.0      |       2.0        |
| 2020-03-30 |         7437.0         |           89.0          |      1179.0     |       28.0       |
| 2020-03-31 |         8548.0         |           96.0          |      1111.0     |       7.0        |
| 2020-04-01 |         9613.0         |          109.0          |      1065.0     |       13.0       |
| 2020-04-02 |        11283.0         |          138.0          |      1670.0     |       29.0       |
| 2020-04-03 |        12537.0         |          187.0          |      1254.0     |       49.0       |
| 2020-04-04 |        13904.0         |          231.0          |      1367.0     |       44.0       |
| 2020-04-05 |        15512.0         |          280.0          |      1608.0     |       49.0       |
| 2020-04-06 |        16667.0         |          323.0          |      1155.0     |       43.0       |
| 2020-04-07 |        17897.0         |          380.0          |      1230.0     |       57.0       |
| 2020-04-08 |        19289.0         |          435.0          |      1392.0     |       55.0       |
| 2020-04-09 |        20765.0         |          509.0          |      1476.0     |       74.0       |
| 2020-04-10 |        22148.0         |          569.0          |      1383.0     |       60.0       |
| 2020-04-11 |        23318.0         |          653.0          |      1170.0     |       84.0       |
| 2020-04-12 |        24383.0         |          717.0          |      1065.0     |       64.0       |
| 2020-04-13 |        25680.0         |          780.0          |      1297.0     |       63.0       |
| 2020-04-14 |        27063.0         |          903.0          |      1383.0     |      123.0       |
| 2020-04-15 |        28381.0         |          1010.0         |      1318.0     |      107.0       |
| 2020-04-16 |        30092.0         |          1193.0         |      1711.0     |      183.0       |
| 2020-04-17 |        31884.0         |          1309.0         |      1792.0     |      116.0       |
| 2020-04-18 |        33354.0         |          1467.0         |      1470.0     |      158.0       |
| 2020-04-19 |        34786.0         |          1580.0         |      1432.0     |      113.0       |
| 2020-04-20 |        36831.0         |          1690.0         |      2045.0     |      110.0       |
| 2020-04-21 |        38422.0         |          1834.0         |      1591.0     |      144.0       |
| 2020-04-22 |        40190.0         |          1974.0         |      1768.0     |      140.0       |
| 2020-04-23 |        42110.0         |          2146.0         |      1920.0     |      172.0       |
| 2020-04-24 |        43888.0         |          2302.0         |      1778.0     |      156.0       |
| 2020-04-25 |        45354.0         |          2465.0         |      1466.0     |      163.0       |
| 2020-04-26 |        46895.0         |          2560.0         |      1541.0     |       95.0       |
+------------+------------------------+-------------------------+-----------------+------------------+
