+----------------------------------------------------------------------------------------------------+
|                         Covid-19 data for france collected on :2020-05-13                          |
+------------+------------------------+-------------------------+-----------------+------------------+
|    Date    | Daily cumulative cases | Daily cumulative deaths | Daily new cases | Daily new deaths |
+------------+------------------------+-------------------------+-----------------+------------------+
| 2020-02-25 |          13.0          |           1.0           |        0        |        0         |
| 2020-02-26 |          18.0          |           1.0           |       5.0       |       0.0        |
| 2020-02-27 |          38.0          |           1.0           |       20.0      |       0.0        |
| 2020-02-28 |          57.0          |           1.0           |       19.0      |       0.0        |
| 2020-02-29 |         100.0          |           1.0           |       43.0      |       0.0        |
| 2020-03-01 |         130.0          |           2.0           |       30.0      |       1.0        |
| 2020-03-02 |         191.0          |           2.0           |       61.0      |       0.0        |
| 2020-03-03 |         212.0          |           4.0           |       21.0      |       2.0        |
| 2020-03-04 |         285.0          |           4.0           |       73.0      |       0.0        |
| 2020-03-05 |         423.0          |           7.0           |      138.0      |       3.0        |
| 2020-03-06 |         613.0          |           9.0           |      190.0      |       2.0        |
| 2020-03-07 |         949.0          |           16.0          |      336.0      |       7.0        |
| 2020-03-08 |         1126.0         |           21.0          |      177.0      |       5.0        |
| 2020-03-09 |         1412.0         |           25.0          |      286.0      |       4.0        |
| 2020-03-10 |         1784.0         |           33.0          |      372.0      |       8.0        |
| 2020-03-11 |         2281.0         |           48.0          |      497.0      |       15.0       |
| 2020-03-12 |         2876.0         |           61.0          |      595.0      |       13.0       |
| 2020-03-13 |         3661.0         |           75.0          |      785.0      |       14.0       |
| 2020-03-14 |         4499.0         |           91.0          |      838.0      |       16.0       |
| 2020-03-15 |         5423.0         |          127.0          |      924.0      |       36.0       |
| 2020-03-16 |         6633.0         |          148.0          |      1210.0     |       21.0       |
| 2020-03-17 |         7730.0         |          175.0          |      1097.0     |       27.0       |
| 2020-03-18 |         9134.0         |          244.0          |      1404.0     |       69.0       |
| 2020-03-19 |        10995.0         |          372.0          |      1861.0     |      128.0       |
| 2020-03-20 |        12612.0         |          450.0          |      1617.0     |       78.0       |
| 2020-03-21 |        14459.0         |          562.0          |      1847.0     |      112.0       |
| 2020-03-22 |        16018.0         |          674.0          |      1559.0     |      112.0       |
| 2020-03-23 |        19856.0         |          860.0          |      3838.0     |      186.0       |
| 2020-03-24 |        22302.0         |          1100.0         |      2446.0     |      240.0       |
| 2020-03-25 |        25233.0         |          1331.0         |      2931.0     |      231.0       |
| 2020-03-26 |        29155.0         |          1696.0         |      3922.0     |      365.0       |
| 2020-03-27 |        32964.0         |          1995.0         |      3809.0     |      299.0       |
| 2020-03-28 |        37575.0         |          2314.0         |      4611.0     |      319.0       |
| 2020-03-29 |        40174.0         |          2606.0         |      2599.0     |      292.0       |
| 2020-03-30 |        44550.0         |          3024.0         |      4376.0     |      418.0       |
| 2020-03-31 |        52128.0         |          3523.0         |      7578.0     |      499.0       |
| 2020-04-01 |        56989.0         |          4032.0         |      4861.0     |      509.0       |
| 2020-04-02 |        59105.0         |          5387.0         |      2116.0     |      1355.0      |
| 2020-04-03 |        64338.0         |          6507.0         |      5233.0     |      1120.0      |
| 2020-04-04 |        68605.0         |          7560.0         |      4267.0     |      1053.0      |
| 2020-04-05 |        70478.0         |          8078.0         |      1873.0     |      518.0       |
| 2020-04-06 |        74390.0         |          8911.0         |      3912.0     |      833.0       |
| 2020-04-07 |        78167.0         |         10328.0         |      3777.0     |      1417.0      |
| 2020-04-08 |        82048.0         |         10869.0         |      3881.0     |      541.0       |
| 2020-04-09 |        86334.0         |         12210.0         |      4286.0     |      1341.0      |
| 2020-04-10 |        90676.0         |         13197.0         |      4342.0     |      987.0       |
| 2020-04-11 |        93790.0         |         13832.0         |      3114.0     |      635.0       |
| 2020-04-12 |        95403.0         |         14393.0         |      1613.0     |      561.0       |
| 2020-04-13 |        98076.0         |         14967.0         |      2673.0     |      574.0       |
| 2020-04-14 |        103573.0        |         15729.0         |      5497.0     |      762.0       |
| 2020-04-15 |        106206.0        |         17167.0         |      2633.0     |      1438.0      |
| 2020-04-16 |        108847.0        |         17920.0         |      2641.0     |      753.0       |
| 2020-04-17 |        109252.0        |         18681.0         |      405.0      |      761.0       |
| 2020-04-18 |        111821.0        |         19323.0         |      2569.0     |      642.0       |
| 2020-04-19 |        112606.0        |         19718.0         |      785.0      |      395.0       |
| 2020-04-20 |        114657.0        |         20265.0         |      2051.0     |      547.0       |
| 2020-04-21 |        117324.0        |         20796.0         |      2667.0     |      531.0       |
| 2020-04-22 |        119151.0        |         21340.0         |      1827.0     |      544.0       |
| 2020-04-23 |        120804.0        |         21856.0         |      1653.0     |      516.0       |
| 2020-04-24 |        122577.0        |         22245.0         |      1773.0     |      389.0       |
| 2020-04-25 |        124114.0        |         22614.0         |      1537.0     |      369.0       |
| 2020-04-26 |        124575.0        |         22856.0         |      461.0      |      242.0       |
+------------+------------------------+-------------------------+-----------------+------------------+
