+----------------------------------------------------------------------------------------------------+
|                         Covid-19 data for germany collected on :2020-05-13                         |
+------------+------------------------+-------------------------+-----------------+------------------+
|    Date    | Daily cumulative cases | Daily cumulative deaths | Daily new cases | Daily new deaths |
+------------+------------------------+-------------------------+-----------------+------------------+
| 2020-02-24 |          16.0          |            0            |        0        |        0         |
| 2020-02-25 |          18.0          |            0            |       2.0       |        0         |
| 2020-02-26 |          21.0          |            0            |       3.0       |        0         |
| 2020-02-27 |          26.0          |            0            |       5.0       |        0         |
| 2020-02-28 |          53.0          |            0            |       27.0      |        0         |
| 2020-02-29 |          66.0          |            0            |       13.0      |        0         |
| 2020-03-01 |         117.0          |            0            |       51.0      |        0         |
| 2020-03-02 |         151.0          |            0            |       34.0      |        0         |
| 2020-03-03 |         188.0          |            0            |       37.0      |        0         |
| 2020-03-04 |         240.0          |            0            |       52.0      |        0         |
| 2020-03-05 |         349.0          |            0            |      109.0      |        0         |
| 2020-03-06 |         639.0          |            0            |      290.0      |        0         |
| 2020-03-07 |         795.0          |            0            |      156.0      |        0         |
| 2020-03-08 |         902.0          |            0            |      107.0      |        0         |
| 2020-03-09 |         1139.0         |           2.0           |      237.0      |        0         |
| 2020-03-10 |         1296.0         |           2.0           |      157.0      |       0.0        |
| 2020-03-11 |         1567.0         |           3.0           |      271.0      |       1.0        |
| 2020-03-12 |         2369.0         |           5.0           |      802.0      |       2.0        |
| 2020-03-13 |         3062.0         |           8.0           |      693.0      |       3.0        |
| 2020-03-14 |         3795.0         |           8.0           |      733.0      |       0.0        |
| 2020-03-15 |         4838.0         |           12.0          |      1043.0     |       4.0        |
| 2020-03-16 |         6012.0         |           12.0          |      1174.0     |       0.0        |
| 2020-03-17 |         7156.0         |           12.0          |      1144.0     |       0.0        |
| 2020-03-18 |         8198.0         |           12.0          |      1042.0     |       0.0        |
| 2020-03-19 |        10999.0         |           20.0          |      2801.0     |       8.0        |
| 2020-03-20 |        13957.0         |           31.0          |      2958.0     |       11.0       |
| 2020-03-21 |        16662.0         |           47.0          |      2705.0     |       16.0       |
| 2020-03-22 |        18610.0         |           55.0          |      1948.0     |       8.0        |
| 2020-03-23 |        22672.0         |           86.0          |      4062.0     |       31.0       |
| 2020-03-24 |        27436.0         |          114.0          |      4764.0     |       28.0       |
| 2020-03-25 |        31554.0         |          149.0          |      4118.0     |       35.0       |
| 2020-03-26 |        36508.0         |          198.0          |      4954.0     |       49.0       |
| 2020-03-27 |        42288.0         |          253.0          |      5780.0     |       55.0       |
| 2020-03-28 |        48582.0         |          325.0          |      6294.0     |       72.0       |
| 2020-03-29 |        52547.0         |          389.0          |      3965.0     |       64.0       |
| 2020-03-30 |        57298.0         |          455.0          |      4751.0     |       66.0       |
| 2020-03-31 |        61913.0         |          583.0          |      4615.0     |      128.0       |
| 2020-04-01 |        67366.0         |          732.0          |      5453.0     |      149.0       |
| 2020-04-02 |        73522.0         |          872.0          |      6156.0     |      140.0       |
| 2020-04-03 |        79696.0         |          1017.0         |      6174.0     |      145.0       |
| 2020-04-04 |        85778.0         |          1158.0         |      6082.0     |      141.0       |
| 2020-04-05 |        91714.0         |          1342.0         |      5936.0     |      184.0       |
| 2020-04-06 |        95391.0         |          1434.0         |      3677.0     |       92.0       |
| 2020-04-07 |        99225.0         |          1607.0         |      3834.0     |      173.0       |
| 2020-04-08 |        103228.0        |          1861.0         |      4003.0     |      254.0       |
| 2020-04-09 |        108202.0        |          2107.0         |      4974.0     |      246.0       |
| 2020-04-10 |        113525.0        |          2373.0         |      5323.0     |      266.0       |
| 2020-04-11 |        117658.0        |          2544.0         |      4133.0     |      171.0       |
| 2020-04-12 |        120479.0        |          2673.0         |      2821.0     |      129.0       |
| 2020-04-13 |        123016.0        |          2799.0         |      2537.0     |      126.0       |
| 2020-04-14 |        125098.0        |          2969.0         |      2082.0     |      170.0       |
| 2020-04-15 |        127584.0        |          3254.0         |      2486.0     |      285.0       |
| 2020-04-16 |        130450.0        |          3569.0         |      2866.0     |      315.0       |
| 2020-04-17 |        133830.0        |          3868.0         |      3380.0     |      299.0       |
| 2020-04-18 |        137439.0        |          4110.0         |      3609.0     |      242.0       |
| 2020-04-19 |        139897.0        |          4294.0         |      2458.0     |      184.0       |
| 2020-04-20 |        141672.0        |          4404.0         |      1775.0     |      110.0       |
| 2020-04-21 |        143457.0        |          4598.0         |      1785.0     |      194.0       |
| 2020-04-22 |        145694.0        |          4879.0         |      2237.0     |      281.0       |
| 2020-04-23 |        148046.0        |          5094.0         |      2352.0     |      215.0       |
| 2020-04-24 |        150383.0        |          5321.0         |      2337.0     |      227.0       |
| 2020-04-25 |        152438.0        |          5500.0         |      2055.0     |      179.0       |
| 2020-04-26 |        154175.0        |          5640.0         |      1737.0     |      140.0       |
+------------+------------------------+-------------------------+-----------------+------------------+
