+----------------------------------------------------------------------------------------------------+
|                         Covid-19 data for greece collected on :2020-05-13                          |
+------------+------------------------+-------------------------+-----------------+------------------+
|    Date    | Daily cumulative cases | Daily cumulative deaths | Daily new cases | Daily new deaths |
+------------+------------------------+-------------------------+-----------------+------------------+
| 2020-02-26 |          4.0           |            0            |        0        |        0         |
| 2020-02-27 |          5.0           |            0            |       1.0       |        0         |
| 2020-02-28 |          7.0           |            0            |       2.0       |        0         |
| 2020-02-29 |          8.0           |            0            |       1.0       |        0         |
| 2020-03-01 |          9.0           |            0            |       1.0       |        0         |
| 2020-03-02 |          9.0           |            0            |       0.0       |        0         |
| 2020-03-03 |          9.0           |            0            |       0.0       |        0         |
| 2020-03-04 |          11.0          |            0            |       2.0       |        0         |
| 2020-03-05 |          31.0          |            0            |       20.0      |        0         |
| 2020-03-06 |          46.0          |            0            |       15.0      |        0         |
| 2020-03-07 |          66.0          |            0            |       20.0      |        0         |
| 2020-03-08 |          73.0          |            0            |       7.0       |        0         |
| 2020-03-09 |          84.0          |            0            |       11.0      |        0         |
| 2020-03-10 |          89.0          |            0            |       5.0       |        0         |
| 2020-03-11 |          99.0          |            0            |       10.0      |        0         |
| 2020-03-12 |         117.0          |           1.0           |       18.0      |        0         |
| 2020-03-13 |         190.0          |           1.0           |       73.0      |       0.0        |
| 2020-03-14 |         228.0          |           3.0           |       38.0      |       2.0        |
| 2020-03-15 |         331.0          |           4.0           |      103.0      |       1.0        |
| 2020-03-16 |         352.0          |           4.0           |       21.0      |       0.0        |
| 2020-03-17 |         387.0          |           5.0           |       35.0      |       1.0        |
| 2020-03-18 |         418.0          |           5.0           |       31.0      |       0.0        |
| 2020-03-19 |         464.0          |           6.0           |       46.0      |       1.0        |
| 2020-03-20 |         495.0          |           10.0          |       31.0      |       4.0        |
| 2020-03-21 |         530.0          |           13.0          |       35.0      |       3.0        |
| 2020-03-22 |         624.0          |           15.0          |       94.0      |       2.0        |
| 2020-03-23 |         695.0          |           17.0          |       71.0      |       2.0        |
| 2020-03-24 |         743.0          |           20.0          |       48.0      |       3.0        |
| 2020-03-25 |         821.0          |           22.0          |       78.0      |       2.0        |
| 2020-03-26 |         892.0          |           26.0          |       71.0      |       4.0        |
| 2020-03-27 |         966.0          |           28.0          |       74.0      |       2.0        |
| 2020-03-28 |         1061.0         |           32.0          |       95.0      |       4.0        |
| 2020-03-29 |         1156.0         |           38.0          |       95.0      |       6.0        |
| 2020-03-30 |         1212.0         |           43.0          |       56.0      |       5.0        |
| 2020-03-31 |         1314.0         |           49.0          |      102.0      |       6.0        |
| 2020-04-01 |         1415.0         |           50.0          |      101.0      |       1.0        |
| 2020-04-02 |         1544.0         |           53.0          |      129.0      |       3.0        |
| 2020-04-03 |         1613.0         |           59.0          |       69.0      |       6.0        |
| 2020-04-04 |         1673.0         |           68.0          |       60.0      |       9.0        |
| 2020-04-05 |         1735.0         |           73.0          |       62.0      |       5.0        |
| 2020-04-06 |         1755.0         |           79.0          |       20.0      |       6.0        |
| 2020-04-07 |         1832.0         |           81.0          |       77.0      |       2.0        |
| 2020-04-08 |         1884.0         |           83.0          |       52.0      |       2.0        |
| 2020-04-09 |         1955.0         |           86.0          |       71.0      |       3.0        |
| 2020-04-10 |         2011.0         |           90.0          |       56.0      |       4.0        |
| 2020-04-11 |         2081.0         |           93.0          |       70.0      |       3.0        |
| 2020-04-12 |         2114.0         |           98.0          |       33.0      |       5.0        |
| 2020-04-13 |         2145.0         |           99.0          |       31.0      |       1.0        |
| 2020-04-14 |         2170.0         |          101.0          |       25.0      |       2.0        |
| 2020-04-15 |         2192.0         |          102.0          |       22.0      |       1.0        |
| 2020-04-16 |         2207.0         |          105.0          |       15.0      |       3.0        |
| 2020-04-17 |         2224.0         |          108.0          |       17.0      |       3.0        |
| 2020-04-18 |         2235.0         |          110.0          |       11.0      |       2.0        |
| 2020-04-19 |         2235.0         |          113.0          |       0.0       |       3.0        |
| 2020-04-20 |         2245.0         |          116.0          |       10.0      |       3.0        |
| 2020-04-21 |         2401.0         |          121.0          |      156.0      |       5.0        |
| 2020-04-22 |         2408.0         |          121.0          |       7.0       |       0.0        |
| 2020-04-23 |         2463.0         |          125.0          |       55.0      |       4.0        |
| 2020-04-24 |         2490.0         |          130.0          |       27.0      |       5.0        |
| 2020-04-25 |         2506.0         |          130.0          |       16.0      |       0.0        |
| 2020-04-26 |         2517.0         |          134.0          |       11.0      |       4.0        |
+------------+------------------------+-------------------------+-----------------+------------------+
