+----------------------------------------------------------------------------------------------------+
|                          Covid-19 data for india collected on :2020-05-13                          |
+------------+------------------------+-------------------------+-----------------+------------------+
|    Date    | Daily cumulative cases | Daily cumulative deaths | Daily new cases | Daily new deaths |
+------------+------------------------+-------------------------+-----------------+------------------+
| 2020-02-02 |          2.0           |            0            |        0        |        0         |
| 2020-02-03 |          3.0           |            0            |       1.0       |        0         |
| 2020-03-02 |          6.0           |            0            |       3.0       |        0         |
| 2020-03-03 |          9.0           |            0            |       3.0       |        0         |
| 2020-03-04 |          32.0          |            0            |       23.0      |        0         |
| 2020-03-05 |          33.0          |            0            |       1.0       |        0         |
| 2020-03-06 |          34.0          |            0            |       1.0       |        0         |
| 2020-03-07 |          37.0          |            0            |       3.0       |        0         |
| 2020-03-08 |          43.0          |            0            |       6.0       |        0         |
| 2020-03-09 |          50.0          |            0            |       7.0       |        0         |
| 2020-03-10 |          65.0          |            0            |       15.0      |        0         |
| 2020-03-12 |          77.0          |           1.0           |       12.0      |        0         |
| 2020-03-13 |          87.0          |           2.0           |       10.0      |       1.0        |
| 2020-03-14 |         107.0          |           2.0           |       20.0      |       0.0        |
| 2020-03-15 |         113.0          |           2.0           |       6.0       |       0.0        |
| 2020-03-16 |         127.0          |           2.0           |       14.0      |       0.0        |
| 2020-03-17 |         146.0          |           3.0           |       19.0      |       1.0        |
| 2020-03-18 |         171.0          |           3.0           |       25.0      |       0.0        |
| 2020-03-19 |         199.0          |           3.0           |       28.0      |       0.0        |
| 2020-03-20 |         258.0          |           4.0           |       59.0      |       1.0        |
| 2020-03-21 |         334.0          |           5.0           |       76.0      |       1.0        |
| 2020-03-22 |         408.0          |           7.0           |       74.0      |       2.0        |
| 2020-03-23 |         505.0          |           9.0           |       97.0      |       2.0        |
| 2020-03-24 |         571.0          |           9.0           |       66.0      |       0.0        |
| 2020-03-25 |         657.0          |           10.0          |       86.0      |       1.0        |
| 2020-03-26 |         735.0          |           16.0          |       78.0      |       6.0        |
| 2020-03-27 |         834.0          |           18.0          |       99.0      |       2.0        |
| 2020-03-28 |         918.0          |           19.0          |       84.0      |       1.0        |
| 2020-03-29 |         1024.0         |           27.0          |      106.0      |       8.0        |
| 2020-03-30 |         1251.0         |           32.0          |      227.0      |       5.0        |
| 2020-03-31 |         1397.0         |           35.0          |      146.0      |       3.0        |
| 2020-04-01 |         1834.0         |           41.0          |      437.0      |       6.0        |
| 2020-04-02 |         2069.0         |           53.0          |      235.0      |       12.0       |
| 2020-04-03 |         2547.0         |           62.0          |      478.0      |       9.0        |
| 2020-04-04 |         3072.0         |           75.0          |      525.0      |       13.0       |
| 2020-04-05 |         3577.0         |           83.0          |      505.0      |       8.0        |
| 2020-04-06 |         4281.0         |          111.0          |      704.0      |       28.0       |
| 2020-04-07 |         4789.0         |          124.0          |      508.0      |       13.0       |
| 2020-04-08 |         5274.0         |          149.0          |      485.0      |       25.0       |
| 2020-04-09 |         5865.0         |          169.0          |      591.0      |       20.0       |
| 2020-04-10 |         6761.0         |          206.0          |      896.0      |       37.0       |
| 2020-04-11 |         7529.0         |          242.0          |      768.0      |       36.0       |
| 2020-04-12 |         8447.0         |          273.0          |      918.0      |       31.0       |
| 2020-04-13 |         9352.0         |          324.0          |      905.0      |       51.0       |
| 2020-04-14 |        10815.0         |          353.0          |      1463.0     |       29.0       |
| 2020-04-15 |        11933.0         |          392.0          |      1118.0     |       39.0       |
| 2020-04-16 |        12759.0         |          420.0          |      826.0      |       28.0       |
| 2020-04-17 |        13835.0         |          452.0          |      1076.0     |       32.0       |
| 2020-04-18 |        14792.0         |          488.0          |      957.0      |       36.0       |
| 2020-04-19 |        16116.0         |          519.0          |      1324.0     |       31.0       |
| 2020-04-20 |        17656.0         |          559.0          |      1540.0     |       40.0       |
| 2020-04-21 |        18985.0         |          603.0          |      1329.0     |       44.0       |
| 2020-04-22 |        20471.0         |          652.0          |      1486.0     |       49.0       |
| 2020-04-23 |        21700.0         |          686.0          |      1229.0     |       34.0       |
| 2020-04-24 |        23452.0         |          723.0          |      1752.0     |       37.0       |
| 2020-04-25 |        24942.0         |          779.0          |      1490.0     |       56.0       |
| 2020-04-26 |        26917.0         |          826.0          |      1975.0     |       47.0       |
+------------+------------------------+-------------------------+-----------------+------------------+
