+----------------------------------------------------------------------------------------------------+
|                         Covid-19 data for ireland collected on :2020-05-13                         |
+------------+------------------------+-------------------------+-----------------+------------------+
|    Date    | Daily cumulative cases | Daily cumulative deaths | Daily new cases | Daily new deaths |
+------------+------------------------+-------------------------+-----------------+------------------+
| 2020-03-03 |          2.0           |            0            |        0        |        0         |
| 2020-03-04 |          6.0           |            0            |       4.0       |        0         |
| 2020-03-05 |          13.0          |            0            |       7.0       |        0         |
| 2020-03-06 |          18.0          |            0            |       5.0       |        0         |
| 2020-03-07 |          19.0          |            0            |       1.0       |        0         |
| 2020-03-08 |          21.0          |            0            |       2.0       |        0         |
| 2020-03-09 |          24.0          |            0            |       3.0       |        0         |
| 2020-03-10 |          34.0          |            0            |       10.0      |        0         |
| 2020-03-11 |          43.0          |           1.0           |       9.0       |        0         |
| 2020-03-12 |          70.0          |           1.0           |       27.0      |       0.0        |
| 2020-03-13 |          90.0          |           1.0           |       20.0      |       0.0        |
| 2020-03-14 |         129.0          |           2.0           |       39.0      |       1.0        |
| 2020-03-15 |         169.0          |           2.0           |       40.0      |       0.0        |
| 2020-03-16 |         223.0          |           2.0           |       54.0      |       0.0        |
| 2020-03-17 |         292.0          |           2.0           |       69.0      |       0.0        |
| 2020-03-18 |         366.0          |           2.0           |       74.0      |       0.0        |
| 2020-03-19 |         557.0          |           3.0           |      191.0      |       1.0        |
| 2020-03-20 |         683.0          |           3.0           |      126.0      |       0.0        |
| 2020-03-21 |         785.0          |           3.0           |      102.0      |       0.0        |
| 2020-03-22 |         906.0          |           4.0           |      121.0      |       1.0        |
| 2020-03-23 |         1125.0         |           6.0           |      219.0      |       2.0        |
| 2020-03-24 |         1329.0         |           7.0           |      204.0      |       1.0        |
| 2020-03-25 |         1564.0         |           9.0           |      235.0      |       2.0        |
| 2020-03-26 |         1819.0         |           19.0          |      255.0      |       10.0       |
| 2020-03-27 |         2121.0         |           22.0          |      302.0      |       3.0        |
| 2020-03-28 |         2415.0         |           36.0          |      294.0      |       14.0       |
| 2020-03-29 |         2615.0         |           46.0          |      200.0      |       10.0       |
| 2020-03-30 |         2910.0         |           54.0          |      295.0      |       8.0        |
| 2020-03-31 |         3235.0         |           71.0          |      325.0      |       17.0       |
| 2020-04-01 |         3447.0         |           85.0          |      212.0      |       14.0       |
| 2020-04-02 |         3849.0         |           98.0          |      402.0      |       13.0       |
| 2020-04-03 |         4273.0         |          120.0          |      424.0      |       22.0       |
| 2020-04-04 |         4604.0         |          137.0          |      331.0      |       17.0       |
| 2020-04-05 |         4994.0         |          158.0          |      390.0      |       21.0       |
| 2020-04-06 |         5364.0         |          174.0          |      370.0      |       16.0       |
| 2020-04-07 |         5709.0         |          210.0          |      345.0      |       36.0       |
| 2020-04-08 |         6074.0         |          235.0          |      365.0      |       25.0       |
| 2020-04-09 |         6574.0         |          263.0          |      500.0      |       28.0       |
| 2020-04-10 |         8089.0         |          288.0          |      1515.0     |       25.0       |
| 2020-04-11 |         8928.0         |          320.0          |      839.0      |       32.0       |
| 2020-04-12 |         9655.0         |          334.0          |      727.0      |       14.0       |
| 2020-04-13 |        10647.0         |          365.0          |      992.0      |       31.0       |
| 2020-04-14 |        11479.0         |          406.0          |      832.0      |       41.0       |
| 2020-04-15 |        12547.0         |          444.0          |      1068.0     |       38.0       |
| 2020-04-16 |        13271.0         |          486.0          |      724.0      |       42.0       |
| 2020-04-17 |        13980.0         |          530.0          |      709.0      |       44.0       |
| 2020-04-18 |        14758.0         |          571.0          |      778.0      |       41.0       |
| 2020-04-19 |        15251.0         |          610.0          |      493.0      |       39.0       |
| 2020-04-20 |        15652.0         |          687.0          |      401.0      |       77.0       |
| 2020-04-21 |        16040.0         |          730.0          |      388.0      |       43.0       |
| 2020-04-22 |        16671.0         |          779.0          |      631.0      |       49.0       |
| 2020-04-23 |        17607.0         |          794.0          |      936.0      |       15.0       |
| 2020-04-24 |        18184.0         |          1014.0         |      577.0      |      220.0       |
| 2020-04-25 |        18561.0         |          1063.0         |      377.0      |       49.0       |
| 2020-04-26 |        19262.0         |          1087.0         |      701.0      |       24.0       |
+------------+------------------------+-------------------------+-----------------+------------------+
