+----------------------------------------------------------------------------------------------------+
|                         Covid-19 data for israel collected on :2020-05-13                          |
+------------+------------------------+-------------------------+-----------------+------------------+
|    Date    | Daily cumulative cases | Daily cumulative deaths | Daily new cases | Daily new deaths |
+------------+------------------------+-------------------------+-----------------+------------------+
| 2020-02-21 |          2.0           |            0            |        0        |        0         |
| 2020-02-22 |          2.0           |            0            |       0.0       |        0         |
| 2020-02-23 |          2.0           |            0            |       0.0       |        0         |
| 2020-02-24 |          2.0           |            0            |       0.0       |        0         |
| 2020-02-25 |          2.0           |            0            |       0.0       |        0         |
| 2020-02-26 |          3.0           |            0            |       1.0       |        0         |
| 2020-02-27 |          5.0           |            0            |       2.0       |        0         |
| 2020-02-28 |          7.0           |            0            |       2.0       |        0         |
| 2020-02-29 |          10.0          |            0            |       3.0       |        0         |
| 2020-03-01 |          12.0          |            0            |       2.0       |        0         |
| 2020-03-02 |          12.0          |            0            |       0.0       |        0         |
| 2020-03-03 |          15.0          |            0            |       3.0       |        0         |
| 2020-03-04 |          16.0          |            0            |       1.0       |        0         |
| 2020-03-05 |          20.0          |            0            |       4.0       |        0         |
| 2020-03-06 |          22.0          |            0            |       2.0       |        0         |
| 2020-03-07 |          37.0          |            0            |       15.0      |        0         |
| 2020-03-08 |          39.0          |            0            |       2.0       |        0         |
| 2020-03-09 |          59.0          |            0            |       20.0      |        0         |
| 2020-03-10 |          77.0          |            0            |       18.0      |        0         |
| 2020-03-11 |          99.0          |            0            |       22.0      |        0         |
| 2020-03-12 |         130.0          |            0            |       31.0      |        0         |
| 2020-03-13 |         164.0          |            0            |       34.0      |        0         |
| 2020-03-14 |         200.0          |            0            |       36.0      |        0         |
| 2020-03-15 |         253.0          |            0            |       53.0      |        0         |
| 2020-03-16 |         318.0          |            0            |       65.0      |        0         |
| 2020-03-17 |         421.0          |            0            |      103.0      |        0         |
| 2020-03-18 |         524.0          |            0            |      103.0      |        0         |
| 2020-03-19 |         677.0          |            0            |      153.0      |        0         |
| 2020-03-20 |         838.0          |           1.0           |      161.0      |        0         |
| 2020-03-21 |         943.0          |           1.0           |      105.0      |       0.0        |
| 2020-03-22 |         1207.0         |           1.0           |      264.0      |       0.0        |
| 2020-03-23 |         1552.0         |           1.0           |      345.0      |       0.0        |
| 2020-03-24 |         2000.0         |           3.0           |      448.0      |       2.0        |
| 2020-03-25 |         2463.0         |           5.0           |      463.0      |       2.0        |
| 2020-03-26 |         3011.0         |           8.0           |      548.0      |       3.0        |
| 2020-03-27 |         3404.0         |           12.0          |      393.0      |       4.0        |
| 2020-03-28 |         3824.0         |           12.0          |      420.0      |       0.0        |
| 2020-03-29 |         4316.0         |           12.0          |      492.0      |       0.0        |
| 2020-03-30 |         4782.0         |           15.0          |      466.0      |       3.0        |
| 2020-03-31 |         5523.0         |           20.0          |      741.0      |       5.0        |
| 2020-04-01 |         6186.0         |           21.0          |      663.0      |       1.0        |
| 2020-04-02 |         6901.0         |           29.0          |      715.0      |       8.0        |
| 2020-04-03 |         7533.0         |           36.0          |      632.0      |       7.0        |
| 2020-04-04 |         7989.0         |           42.0          |      456.0      |       6.0        |
| 2020-04-05 |         8618.0         |           46.0          |      629.0      |       4.0        |
| 2020-04-06 |         8970.0         |           51.0          |      352.0      |       5.0        |
| 2020-04-07 |         9313.0         |           59.0          |      343.0      |       8.0        |
| 2020-04-08 |         9749.0         |           71.0          |      436.0      |       12.0       |
| 2020-04-09 |        10067.0         |           79.0          |      318.0      |       8.0        |
| 2020-04-10 |        10441.0         |           92.0          |      374.0      |       13.0       |
| 2020-04-11 |        10825.0         |           96.0          |      384.0      |       4.0        |
| 2020-04-12 |        11223.0         |          103.0          |      398.0      |       7.0        |
| 2020-04-13 |        11809.0         |          110.0          |      586.0      |       7.0        |
| 2020-04-14 |        12159.0         |          117.0          |      350.0      |       7.0        |
| 2020-04-15 |        12526.0         |          126.0          |      367.0      |       9.0        |
| 2020-04-16 |        12802.0         |          140.0          |      276.0      |       14.0       |
| 2020-04-17 |        13073.0         |          148.0          |      271.0      |       8.0        |
| 2020-04-18 |        13265.0         |          158.0          |      192.0      |       10.0       |
| 2020-04-19 |        13491.0         |          171.0          |      226.0      |       13.0       |
| 2020-04-20 |        13713.0         |          173.0          |      222.0      |       2.0        |
| 2020-04-21 |        13942.0         |          181.0          |      229.0      |       8.0        |
| 2020-04-22 |        14498.0         |          187.0          |      556.0      |       6.0        |
| 2020-04-23 |        14803.0         |          192.0          |      305.0      |       5.0        |
| 2020-04-24 |        15058.0         |          194.0          |      255.0      |       2.0        |
| 2020-04-25 |        15298.0         |          199.0          |      240.0      |       5.0        |
| 2020-04-26 |        15443.0         |          201.0          |      145.0      |       2.0        |
+------------+------------------------+-------------------------+-----------------+------------------+
