+----------------------------------------------------------------------------------------------------+
|                       Covid-19 data for newzealand collected on :2020-05-13                        |
+------------+------------------------+-------------------------+-----------------+------------------+
|    Date    | Daily cumulative cases | Daily cumulative deaths | Daily new cases | Daily new deaths |
+------------+------------------------+-------------------------+-----------------+------------------+
| 2020-03-14 |          6.0           |            0            |        0        |        0         |
| 2020-03-15 |          8.0           |            0            |       2.0       |        0         |
| 2020-03-16 |          8.0           |            0            |       0.0       |        0         |
| 2020-03-17 |          12.0          |            0            |       4.0       |        0         |
| 2020-03-18 |          20.0          |            0            |       8.0       |        0         |
| 2020-03-19 |          28.0          |            0            |       8.0       |        0         |
| 2020-03-20 |          39.0          |            0            |       11.0      |        0         |
| 2020-03-21 |          52.0          |            0            |       13.0      |        0         |
| 2020-03-22 |          66.0          |            0            |       14.0      |        0         |
| 2020-03-23 |         102.0          |            0            |       36.0      |        0         |
| 2020-03-24 |         155.0          |            0            |       53.0      |        0         |
| 2020-03-25 |         205.0          |            0            |       50.0      |        0         |
| 2020-03-26 |         283.0          |            0            |       78.0      |        0         |
| 2020-03-27 |         368.0          |            0            |       85.0      |        0         |
| 2020-03-28 |         451.0          |            0            |       83.0      |        0         |
| 2020-03-29 |         514.0          |           1.0           |       63.0      |        0         |
| 2020-03-30 |         589.0          |           1.0           |       75.0      |       0.0        |
| 2020-03-31 |         647.0          |           1.0           |       58.0      |       0.0        |
| 2020-04-01 |         708.0          |           1.0           |       61.0      |       0.0        |
| 2020-04-02 |         797.0          |           1.0           |       89.0      |       0.0        |
| 2020-04-03 |         868.0          |           1.0           |       71.0      |       0.0        |
| 2020-04-04 |         950.0          |           1.0           |       82.0      |       0.0        |
| 2020-04-05 |         1039.0         |           1.0           |       89.0      |       0.0        |
| 2020-04-06 |         1106.0         |           1.0           |       67.0      |       0.0        |
| 2020-04-07 |         1160.0         |           1.0           |       54.0      |       0.0        |
| 2020-04-08 |         1210.0         |           1.0           |       50.0      |       0.0        |
| 2020-04-09 |         1239.0         |           1.0           |       29.0      |       0.0        |
| 2020-04-10 |         1283.0         |           2.0           |       44.0      |       1.0        |
| 2020-04-11 |         1312.0         |           4.0           |       29.0      |       2.0        |
| 2020-04-12 |         1330.0         |           4.0           |       18.0      |       0.0        |
| 2020-04-13 |         1349.0         |           5.0           |       19.0      |       1.0        |
| 2020-04-14 |         1366.0         |           9.0           |       17.0      |       4.0        |
| 2020-04-15 |         1386.0         |           9.0           |       20.0      |       0.0        |
| 2020-04-16 |         1401.0         |           9.0           |       15.0      |       0.0        |
| 2020-04-17 |         1409.0         |           11.0          |       8.0       |       2.0        |
| 2020-04-18 |         1422.0         |           11.0          |       13.0      |       0.0        |
| 2020-04-19 |         1431.0         |           12.0          |       9.0       |       1.0        |
| 2020-04-20 |         1440.0         |           12.0          |       9.0       |       0.0        |
| 2020-04-21 |         1445.0         |           13.0          |       5.0       |       1.0        |
| 2020-04-22 |         1448.0         |           14.0          |       3.0       |       1.0        |
| 2020-04-23 |         1451.0         |           16.0          |       3.0       |       2.0        |
| 2020-04-24 |         1456.0         |           17.0          |       5.0       |       1.0        |
| 2020-04-25 |         1461.0         |           18.0          |       5.0       |       1.0        |
| 2020-04-26 |         1470.0         |           18.0          |       9.0       |       0.0        |
+------------+------------------------+-------------------------+-----------------+------------------+
