+----------------------------------------------------------------------------------------------------+
|                         Covid-19 data for poland collected on :2020-05-13                          |
+------------+------------------------+-------------------------+-----------------+------------------+
|    Date    | Daily cumulative cases | Daily cumulative deaths | Daily new cases | Daily new deaths |
+------------+------------------------+-------------------------+-----------------+------------------+
| 2020-03-04 |          1.0           |            0            |        0        |        0         |
| 2020-03-05 |          1.0           |            0            |       0.0       |        0         |
| 2020-03-06 |          5.0           |            0            |       4.0       |        0         |
| 2020-03-07 |          6.0           |            0            |       1.0       |        0         |
| 2020-03-08 |          11.0          |            0            |       5.0       |        0         |
| 2020-03-09 |          17.0          |            0            |       6.0       |        0         |
| 2020-03-10 |          22.0          |            0            |       5.0       |        0         |
| 2020-03-11 |          31.0          |            0            |       9.0       |        0         |
| 2020-03-12 |          51.0          |           1.0           |       20.0      |        0         |
| 2020-03-13 |          68.0          |           2.0           |       17.0      |       1.0        |
| 2020-03-14 |         104.0          |           3.0           |       36.0      |       1.0        |
| 2020-03-15 |         125.0          |           3.0           |       21.0      |       0.0        |
| 2020-03-16 |         177.0          |           4.0           |       52.0      |       1.0        |
| 2020-03-17 |         238.0          |           5.0           |       61.0      |       1.0        |
| 2020-03-18 |         287.0          |           5.0           |       49.0      |       0.0        |
| 2020-03-19 |         355.0          |           5.0           |       68.0      |       0.0        |
| 2020-03-20 |         425.0          |           5.0           |       70.0      |       0.0        |
| 2020-03-21 |         536.0          |           5.0           |      111.0      |       0.0        |
| 2020-03-22 |         634.0          |           7.0           |       98.0      |       2.0        |
| 2020-03-23 |         749.0          |           8.0           |      115.0      |       1.0        |
| 2020-03-24 |         884.0          |           10.0          |      135.0      |       2.0        |
| 2020-03-25 |         1051.0         |           14.0          |      167.0      |       4.0        |
| 2020-03-26 |         1221.0         |           16.0          |      170.0      |       2.0        |
| 2020-03-27 |         1389.0         |           16.0          |      168.0      |       0.0        |
| 2020-03-28 |         1638.0         |           21.0          |      249.0      |       5.0        |
| 2020-03-29 |         1862.0         |           22.0          |      224.0      |       1.0        |
| 2020-03-30 |         2055.0         |           31.0          |      193.0      |       9.0        |
| 2020-03-31 |         2311.0         |           33.0          |      256.0      |       2.0        |
| 2020-04-01 |         2554.0         |           43.0          |      243.0      |       10.0       |
| 2020-04-02 |         2946.0         |           57.0          |      392.0      |       14.0       |
| 2020-04-03 |         3383.0         |           71.0          |      437.0      |       14.0       |
| 2020-04-04 |         3627.0         |           79.0          |      244.0      |       8.0        |
| 2020-04-05 |         4102.0         |           94.0          |      475.0      |       15.0       |
| 2020-04-06 |         4413.0         |          107.0          |      311.0      |       13.0       |
| 2020-04-07 |         4848.0         |          129.0          |      435.0      |       22.0       |
| 2020-04-08 |         5205.0         |          158.0          |      357.0      |       29.0       |
| 2020-04-09 |         5575.0         |          174.0          |      370.0      |       16.0       |
| 2020-04-10 |         5955.0         |          181.0          |      380.0      |       7.0        |
| 2020-04-11 |         6356.0         |          208.0          |      401.0      |       27.0       |
| 2020-04-12 |         6674.0         |          232.0          |      318.0      |       24.0       |
| 2020-04-13 |         6934.0         |          245.0          |      260.0      |       13.0       |
| 2020-04-14 |         7202.0         |          263.0          |      268.0      |       18.0       |
| 2020-04-15 |         7582.0         |          286.0          |      380.0      |       23.0       |
| 2020-04-16 |         7918.0         |          314.0          |      336.0      |       28.0       |
| 2020-04-17 |         8379.0         |          332.0          |      461.0      |       18.0       |
| 2020-04-18 |         8742.0         |          347.0          |      363.0      |       15.0       |
| 2020-04-19 |         9287.0         |          360.0          |      545.0      |       13.0       |
| 2020-04-20 |         9593.0         |          380.0          |      306.0      |       20.0       |
| 2020-04-21 |         9856.0         |          401.0          |      263.0      |       21.0       |
| 2020-04-22 |        10169.0         |          426.0          |      313.0      |       25.0       |
| 2020-04-23 |        10511.0         |          454.0          |      342.0      |       28.0       |
| 2020-04-24 |        10759.0         |          463.0          |      248.0      |       9.0        |
| 2020-04-25 |        11273.0         |          524.0          |      514.0      |       61.0       |
| 2020-04-26 |        11617.0         |          535.0          |      344.0      |       11.0       |
+------------+------------------------+-------------------------+-----------------+------------------+
