+----------------------------------------------------------------------------------------------------+
|                        Covid-19 data for slovakia collected on :2020-05-13                         |
+------------+------------------------+-------------------------+-----------------+------------------+
|    Date    | Daily cumulative cases | Daily cumulative deaths | Daily new cases | Daily new deaths |
+------------+------------------------+-------------------------+-----------------+------------------+
| 2020-03-09 |          7.0           |            0            |        0        |        0         |
| 2020-03-10 |          7.0           |            0            |       0.0       |        0         |
| 2020-03-11 |          10.0          |            0            |       3.0       |        0         |
| 2020-03-12 |          21.0          |            0            |       11.0      |        0         |
| 2020-03-13 |          32.0          |            0            |       11.0      |        0         |
| 2020-03-14 |          44.0          |            0            |       12.0      |        0         |
| 2020-03-15 |          61.0          |            0            |       17.0      |        0         |
| 2020-03-16 |          72.0          |            0            |       11.0      |        0         |
| 2020-03-17 |          97.0          |            0            |       25.0      |        0         |
| 2020-03-18 |         105.0          |            0            |       8.0       |        0         |
| 2020-03-19 |         124.0          |            0            |       19.0      |        0         |
| 2020-03-20 |         138.0          |            0            |       14.0      |        0         |
| 2020-03-21 |         179.0          |            0            |       41.0      |        0         |
| 2020-03-22 |         186.0          |            0            |       7.0       |        0         |
| 2020-03-23 |         205.0          |            0            |       19.0      |        0         |
| 2020-03-24 |         216.0          |            0            |       11.0      |        0         |
| 2020-03-25 |         226.0          |            0            |       10.0      |        0         |
| 2020-03-26 |         269.0          |            0            |       43.0      |        0         |
| 2020-03-27 |         292.0          |            0            |       23.0      |        0         |
| 2020-03-28 |         314.0          |            0            |       22.0      |        0         |
| 2020-03-29 |         336.0          |            0            |       22.0      |        0         |
| 2020-03-30 |         363.0          |            0            |       27.0      |        0         |
| 2020-03-31 |         400.0          |           1.0           |       37.0      |        0         |
| 2020-04-01 |         426.0          |           1.0           |       26.0      |       0.0        |
| 2020-04-02 |         450.0          |           1.0           |       24.0      |       0.0        |
| 2020-04-03 |         471.0          |           1.0           |       21.0      |       0.0        |
| 2020-04-04 |         485.0          |           1.0           |       14.0      |       0.0        |
| 2020-04-05 |         534.0          |           1.0           |       49.0      |       0.0        |
| 2020-04-06 |         581.0          |           2.0           |       47.0      |       1.0        |
| 2020-04-07 |         682.0          |           2.0           |      101.0      |       0.0        |
| 2020-04-08 |         701.0          |           2.0           |       19.0      |       0.0        |
| 2020-04-09 |         715.0          |           2.0           |       14.0      |       0.0        |
| 2020-04-10 |         728.0          |           2.0           |       13.0      |       0.0        |
| 2020-04-11 |         742.0          |           2.0           |       14.0      |       0.0        |
| 2020-04-12 |         769.0          |           2.0           |       27.0      |       0.0        |
| 2020-04-13 |         835.0          |           2.0           |       66.0      |       0.0        |
| 2020-04-14 |         863.0          |           2.0           |       28.0      |       0.0        |
| 2020-04-15 |         977.0          |           8.0           |      114.0      |       6.0        |
| 2020-04-16 |         1049.0         |           9.0           |       72.0      |       1.0        |
| 2020-04-17 |         1089.0         |           11.0          |       40.0      |       2.0        |
| 2020-04-18 |         1161.0         |           12.0          |       72.0      |       1.0        |
| 2020-04-19 |         1173.0         |           13.0          |       12.0      |       1.0        |
| 2020-04-20 |         1199.0         |           14.0          |       26.0      |       1.0        |
| 2020-04-21 |         1244.0         |           14.0          |       45.0      |       0.0        |
| 2020-04-22 |         1325.0         |           15.0          |       81.0      |       1.0        |
| 2020-04-23 |         1360.0         |           17.0          |       35.0      |       2.0        |
| 2020-04-24 |         1373.0         |           17.0          |       13.0      |       0.0        |
| 2020-04-25 |         1379.0         |           18.0          |       6.0       |       1.0        |
+------------+------------------------+-------------------------+-----------------+------------------+
