+----------------------------------------------------------------------------------------------------+
|                       Covid-19 data for southkorea collected on :2020-05-13                        |
+------------+------------------------+-------------------------+-----------------+------------------+
|    Date    | Daily cumulative cases | Daily cumulative deaths | Daily new cases | Daily new deaths |
+------------+------------------------+-------------------------+-----------------+------------------+
| 2020-01-20 |          1.0           |            0            |        0        |        0         |
| 2020-01-24 |          2.0           |            0            |       1.0       |        0         |
| 2020-01-25 |          2.0           |            0            |       0.0       |        0         |
| 2020-01-26 |          3.0           |            0            |       1.0       |        0         |
| 2020-01-27 |          4.0           |            0            |       1.0       |        0         |
| 2020-01-30 |          6.0           |            0            |       2.0       |        0         |
| 2020-01-31 |          11.0          |            0            |       5.0       |        0         |
| 2020-02-01 |          12.0          |            0            |       1.0       |        0         |
| 2020-02-02 |          15.0          |            0            |       3.0       |        0         |
| 2020-02-03 |          15.0          |            0            |       0.0       |        0         |
| 2020-02-04 |          16.0          |            0            |       1.0       |        0         |
| 2020-02-05 |          19.0          |            0            |       3.0       |        0         |
| 2020-02-06 |          23.0          |            0            |       4.0       |        0         |
| 2020-02-07 |          24.0          |            0            |       1.0       |        0         |
| 2020-02-08 |          24.0          |            0            |       0.0       |        0         |
| 2020-02-09 |          27.0          |            0            |       3.0       |        0         |
| 2020-02-10 |          27.0          |            0            |       0.0       |        0         |
| 2020-02-11 |          28.0          |            0            |       1.0       |        0         |
| 2020-02-12 |          28.0          |            0            |       0.0       |        0         |
| 2020-02-13 |          28.0          |            0            |       0.0       |        0         |
| 2020-02-14 |          28.0          |            0            |       0.0       |        0         |
| 2020-02-15 |          28.0          |            0            |       0.0       |        0         |
| 2020-02-16 |          29.0          |            0            |       1.0       |        0         |
| 2020-02-17 |          30.0          |            0            |       1.0       |        0         |
| 2020-02-18 |          31.0          |            0            |       1.0       |        0         |
| 2020-02-19 |          51.0          |            0            |       20.0      |        0         |
| 2020-02-20 |         104.0          |           1.0           |       53.0      |        0         |
| 2020-02-21 |         204.0          |           2.0           |      100.0      |       1.0        |
| 2020-02-22 |         433.0          |           2.0           |      229.0      |       0.0        |
| 2020-02-23 |         602.0          |           4.0           |      169.0      |       2.0        |
| 2020-02-24 |         833.0          |           7.0           |      231.0      |       3.0        |
| 2020-02-25 |         977.0          |           10.0          |      144.0      |       3.0        |
| 2020-02-26 |         1261.0         |           12.0          |      284.0      |       2.0        |
| 2020-02-27 |         1766.0         |           13.0          |      505.0      |       1.0        |
| 2020-02-28 |         2337.0         |           13.0          |      571.0      |       0.0        |
| 2020-02-29 |         3150.0         |           17.0          |      813.0      |       4.0        |
| 2020-03-01 |         4212.0         |           22.0          |      1062.0     |       5.0        |
| 2020-03-02 |         4812.0         |           28.0          |      600.0      |       6.0        |
| 2020-03-03 |         5328.0         |           32.0          |      516.0      |       4.0        |
| 2020-03-04 |         5766.0         |           35.0          |      438.0      |       3.0        |
| 2020-03-05 |         6284.0         |           42.0          |      518.0      |       7.0        |
| 2020-03-06 |         6767.0         |           44.0          |      483.0      |       2.0        |
| 2020-03-07 |         7134.0         |           50.0          |      367.0      |       6.0        |
| 2020-03-08 |         7382.0         |           51.0          |      248.0      |       1.0        |
| 2020-03-09 |         7513.0         |           54.0          |      131.0      |       3.0        |
| 2020-03-10 |         7755.0         |           60.0          |      242.0      |       6.0        |
| 2020-03-11 |         7869.0         |           66.0          |      114.0      |       6.0        |
| 2020-03-12 |         7979.0         |           67.0          |      110.0      |       1.0        |
| 2020-03-13 |         8086.0         |           72.0          |      107.0      |       5.0        |
| 2020-03-14 |         8162.0         |           75.0          |       76.0      |       3.0        |
| 2020-03-15 |         8236.0         |           75.0          |       74.0      |       0.0        |
| 2020-03-16 |         8320.0         |           81.0          |       84.0      |       6.0        |
| 2020-03-17 |         8413.0         |           84.0          |       93.0      |       3.0        |
| 2020-03-18 |         8565.0         |           91.0          |      152.0      |       7.0        |
