+----------------------------------------------------------------------------------------------------+
|                         Covid-19 data for sweden collected on :2020-05-13                          |
+------------+------------------------+-------------------------+-----------------+------------------+
|    Date    | Daily cumulative cases | Daily cumulative deaths | Daily new cases | Daily new deaths |
+------------+------------------------+-------------------------+-----------------+------------------+
| 2020-02-04 |          1.0           |            0            |        0        |        0         |
| 2020-02-26 |          2.0           |            0            |       1.0       |        0         |
| 2020-02-27 |          3.0           |            0            |       1.0       |        0         |
| 2020-02-28 |          11.0          |            0            |       8.0       |        0         |
| 2020-02-29 |          14.0          |            0            |       3.0       |        0         |
| 2020-03-01 |          14.0          |            0            |       0.0       |        0         |
| 2020-03-02 |          19.0          |            0            |       5.0       |        0         |
| 2020-03-03 |          32.0          |            0            |       13.0      |        0         |
| 2020-03-04 |          62.0          |            0            |       30.0      |        0         |
| 2020-03-05 |          87.0          |            0            |       25.0      |        0         |
| 2020-03-06 |         146.0          |            0            |       59.0      |        0         |
| 2020-03-07 |         179.0          |            0            |       33.0      |        0         |
| 2020-03-08 |         225.0          |            0            |       46.0      |        0         |
| 2020-03-09 |         326.0          |            0            |      101.0      |        0         |
| 2020-03-10 |         424.0          |            0            |       98.0      |        0         |
| 2020-03-11 |         620.0          |           1.0           |      196.0      |        0         |
| 2020-03-12 |         771.0          |           1.0           |      151.0      |       0.0        |
| 2020-03-13 |         923.0          |           2.0           |      152.0      |       1.0        |
| 2020-03-14 |         994.0          |           3.0           |       71.0      |       1.0        |
| 2020-03-15 |         1063.0         |           5.0           |       69.0      |       2.0        |
| 2020-03-16 |         1146.0         |           7.0           |       83.0      |       2.0        |
| 2020-03-17 |         1265.0         |           8.0           |      119.0      |       1.0        |
| 2020-03-18 |         1410.0         |           14.0          |      145.0      |       6.0        |
| 2020-03-19 |         1553.0         |           21.0          |      143.0      |       7.0        |
| 2020-03-20 |         1733.0         |           30.0          |      180.0      |       9.0        |
| 2020-03-21 |         1867.0         |           38.0          |      134.0      |       8.0        |
| 2020-03-22 |         1984.0         |           50.0          |      117.0      |       12.0       |
| 2020-03-23 |         2166.0         |           61.0          |      182.0      |       11.0       |
| 2020-03-24 |         2396.0         |           81.0          |      230.0      |       20.0       |
| 2020-03-25 |         2710.0         |          104.0          |      314.0      |       23.0       |
| 2020-03-26 |         2996.0         |          135.0          |      286.0      |       31.0       |
| 2020-03-27 |         3362.0         |          167.0          |      366.0      |       32.0       |
| 2020-03-28 |         3662.0         |          202.0          |      300.0      |       35.0       |
| 2020-03-29 |         3943.0         |          241.0          |      281.0      |       39.0       |
| 2020-03-30 |         4358.0         |          284.0          |      415.0      |       43.0       |
| 2020-03-31 |         4833.0         |          331.0          |      475.0      |       47.0       |
| 2020-04-01 |         5319.0         |          384.0          |      486.0      |       53.0       |
| 2020-04-02 |         5873.0         |          453.0          |      554.0      |       69.0       |
| 2020-04-03 |         6474.0         |          531.0          |      601.0      |       78.0       |
| 2020-04-04 |         6831.0         |          602.0          |      357.0      |       71.0       |
| 2020-04-05 |         7171.0         |          688.0          |      340.0      |       86.0       |
| 2020-04-06 |         7560.0         |          779.0          |      389.0      |       91.0       |
| 2020-04-07 |         8298.0         |          862.0          |      738.0      |       83.0       |
| 2020-04-08 |         8953.0         |          972.0          |      655.0      |      110.0       |
| 2020-04-09 |         9597.0         |          1056.0         |      644.0      |       84.0       |
| 2020-04-10 |        10052.0         |          1145.0         |      455.0      |       89.0       |
| 2020-04-11 |        10446.0         |          1243.0         |      394.0      |       98.0       |
| 2020-04-12 |        10909.0         |          1340.0         |      463.0      |       97.0       |
| 2020-04-13 |        11346.0         |          1424.0         |      437.0      |       84.0       |
| 2020-04-14 |        11826.0         |          1514.0         |      480.0      |       90.0       |
| 2020-04-15 |        12430.0         |          1623.0         |      604.0      |      109.0       |
| 2020-04-16 |        13053.0         |          1730.0         |      623.0      |      107.0       |
| 2020-04-17 |        13741.0         |          1804.0         |      688.0      |       74.0       |
| 2020-04-18 |        14273.0         |          1877.0         |      532.0      |       73.0       |
| 2020-04-19 |        14662.0         |          1953.0         |      389.0      |       76.0       |
| 2020-04-20 |        15124.0         |          2023.0         |      462.0      |       70.0       |
| 2020-04-21 |        15833.0         |          2070.0         |      709.0      |       47.0       |
| 2020-04-22 |        16555.0         |          2113.0         |      722.0      |       43.0       |
| 2020-04-23 |        17305.0         |          2154.0         |      750.0      |       41.0       |
| 2020-04-24 |        18074.0         |          2173.0         |      769.0      |       19.0       |
| 2020-04-25 |        18549.0         |          2174.0         |      475.0      |       1.0        |
| 2020-04-26 |        18640.0         |          2194.0         |       91.0      |       20.0       |
+------------+------------------------+-------------------------+-----------------+------------------+
