+-------------------------------------------------------------------------------------------------------+
|                         Number of non zero first digits in data set:2020-04-10                        |
+---------------+------------------------+-------------------------+-----------------+------------------+
|    Country    | Daily cumulative cases | Daily cumulative deaths | Daily new cases | Daily new deaths |
+---------------+------------------------+-------------------------+-----------------+------------------+
|   australia   |           61           |            38           |        50       |        19        |
|     canada    |           45           |            20           |        44       |        19        |
|    estonia    |           38           |            15           |        33       |        10        |
|    hungary    |           36           |            25           |        34       |        16        |
|      iran     |           50           |            50           |        49       |        48        |
|     kuwait    |           45           |            4            |        40       |        0         |
|     qatar     |           38           |            11           |        34       |        4         |
|    slovakia   |           30           |            8            |        28       |        1         |
|  switzerland  |           44           |            35           |        43       |        30        |
|    austria    |           40           |            28           |        38       |        21        |
|    finland    |           69           |            0            |        41       |        0         |
|    iceland    |           40           |            22           |        38       |        3         |
|    ireland    |           37           |            29           |        36       |        20        |
|     norway    |           43           |            28           |        42       |        19        |
|    romania    |           37           |            18           |        35       |        17        |
|    slovenia   |           36           |            26           |        35       |        16        |
|    thailand   |           78           |            39           |        49       |        13        |
|    belgium    |           40           |            30           |        39       |        26        |
| czechrepublic |           39           |            18           |        38       |        15        |
|     france    |           44           |            44           |        43       |        37        |
|     india     |           39           |            28           |        38       |        21        |
|   luxembourg  |           34           |            26           |        31       |        14        |
|    pakistan   |           31           |            22           |        30       |        19        |
|     russia    |           35           |            15           |        33       |        13        |
|   southkorea  |           74           |            48           |        65       |        44        |
|     turkey    |           29           |            25           |        27       |        23        |
|     japan     |           83           |            55           |        67       |        33        |
|     brazil    |           43           |            23           |        36       |        22        |
|    denmark    |           42           |            28           |        40       |        25        |
|    germany    |           45           |            31           |        44       |        25        |
|   india.bak   |           59           |            16           |        28       |        9         |
|     italy     |           49           |            48           |        48       |        47        |
|     poland    |           36           |            28           |        34       |        21        |
|  saudiarabia  |           35           |            16           |        34       |        12        |
|     spain     |           44           |            44           |        43       |        36        |
|       uk      |           42           |            35           |        41       |        32        |
|   newzealand  |           26           |            11           |        24       |        0         |
|     china     |           80           |            0            |        79       |        0         |
|    lombardy   |           48           |            0            |        47       |        0         |
|     israel    |           47           |            20           |        40       |        15        |
|    malaysia   |           75           |            23           |        48       |        21        |
|    bulgaria   |           32           |            29           |        30       |        12        |
|     egypt     |           35           |            14           |        32       |        13        |
|     greece    |           43           |            28           |        40       |        24        |
|   indonesia   |           38           |            29           |        32       |        25        |
|     japan     |           83           |            55           |        67       |        33        |
|  netherlands  |           42           |            34           |        41       |        30        |
|    portugal   |           38           |            24           |        37       |        22        |
|   singapore   |           77           |            19           |        66       |        5         |
|     sweden    |           43           |            29           |        42       |        26        |
|       us      |           43           |            40           |        41       |        38        |
+---------------+------------------------+-------------------------+-----------------+------------------+
