+----------------------------------------------------------------------------------------------------+
|                        Covid-19 data for australia collected on :2020-04-10                        |
+------------+------------------------+-------------------------+-----------------+------------------+
|    Date    | Daily cumulative cases | Daily cumulative deaths | Daily new cases | Daily new deaths |
+------------+------------------------+-------------------------+-----------------+------------------+
| 2020-01-25 |          4.0           |            0            |        0        |        0         |
| 2020-01-27 |          5.0           |            0            |       1.0       |        0         |
| 2020-01-29 |          7.0           |            0            |       2.0       |        0         |
| 2020-01-30 |          9.0           |            0            |       2.0       |        0         |
| 2020-02-1  |          10.0          |            0            |       1.0       |        0         |
| 2020-02-2  |          12.0          |            0            |       2.0       |        0         |
| 2020-02-8  |          15.0          |            0            |       3.0       |        0         |
| 2020-02-12 |          15.0          |            0            |       0.0       |        0         |
| 2020-02-13 |          15.0          |            0            |       0.0       |        0         |
| 2020-02-16 |          15.0          |            0            |       0.0       |        0         |
| 2020-02-17 |          15.0          |            0            |       0.0       |        0         |
| 2020-02-18 |          15.0          |            0            |       0.0       |        0         |
| 2020-02-19 |          15.0          |            0            |       0.0       |        0         |
| 2020-02-20 |          17.0          |            0            |       2.0       |        0         |
| 2020-02-21 |          21.0          |            0            |       4.0       |        0         |
| 2020-02-22 |          22.0          |            0            |       1.0       |        0         |
| 2020-02-23 |          22.0          |            0            |       0.0       |        0         |
| 2020-02-24 |          22.0          |            0            |       0.0       |        0         |
| 2020-02-25 |          23.0          |            0            |       1.0       |        0         |
| 2020-02-26 |          23.0          |            0            |       0.0       |        0         |
| 2020-02-27 |          23.0          |            0            |       0.0       |        0         |
| 2020-02-28 |          25.0          |            0            |       2.0       |        0         |
| 2020-02-29 |          26.0          |            0            |       1.0       |        0         |
| 2020-03-1  |          29.0          |           1.0           |       3.0       |        0         |
| 2020-03-2  |          33.0          |           1.0           |       4.0       |       0.0        |
| 2020-03-3  |          41.0          |           1.0           |       8.0       |       0.0        |
| 2020-03-4  |          52.0          |           2.0           |       11.0      |       1.0        |
| 2020-03-5  |          57.0          |           2.0           |       5.0       |       0.0        |
| 2020-03-6  |          63.0          |           2.0           |       6.0       |       0.0        |
| 2020-03-7  |          73.0          |           2.0           |       10.0      |       0.0        |
| 2020-03-8  |          80.0          |           3.0           |       7.0       |       1.0        |
| 2020-03-9  |          92.0          |           3.0           |       12.0      |       0.0        |
| 2020-03-10 |         112.0          |           3.0           |       20.0      |       0.0        |
| 2020-03-11 |         128.0          |           3.0           |       16.0      |       0.0        |
| 2020-03-12 |         156.0          |           3.0           |       28.0      |       0.0        |
| 2020-03-13 |         198.0          |           3.0           |       42.0      |       0.0        |
| 2020-03-14 |         248.0          |           3.0           |       50.0      |       0.0        |
| 2020-03-15 |         297.0          |           5.0           |       49.0      |       2.0        |
| 2020-03-16 |         375.0          |           5.0           |       78.0      |       0.0        |
| 2020-03-17 |         453.0          |           5.0           |       78.0      |       0.0        |
| 2020-03-18 |         566.0          |           6.0           |      113.0      |       1.0        |
| 2020-03-19 |         707.0          |           6.0           |      141.0      |       0.0        |
| 2020-03-20 |         875.0          |           7.0           |      168.0      |       1.0        |
| 2020-03-21 |         1071.0         |           7.0           |      196.0      |       0.0        |
| 2020-03-22 |         1352.0         |           7.0           |      281.0      |       0.0        |
| 2020-03-23 |         1709.0         |           7.0           |      357.0      |       0.0        |
| 2020-03-24 |         2146.0         |           8.0           |      437.0      |       1.0        |
| 2020-03-25 |         2431.0         |           9.0           |      285.0      |       1.0        |
| 2020-03-26 |         2805.0         |           13.0          |      374.0      |       4.0        |
| 2020-03-27 |         3167.0         |           13.0          |      362.0      |       0.0        |
| 2020-03-28 |         3637.0         |           14.0          |      470.0      |       1.0        |
| 2020-03-29 |         3984.0         |           16.0          |      347.0      |       2.0        |
| 2020-03-30 |         4250.0         |           18.0          |      266.0      |       2.0        |
| 2020-03-31 |         4560.0         |           19.0          |      310.0      |       1.0        |
| 2020-04-01 |         4864.0         |           21.0          |      304.0      |       2.0        |
| 2020-04-02 |         5136.0         |           24.0          |      272.0      |       3.0        |
| 2020-04-03 |         5358.0         |           28.0          |      222.0      |       4.0        |
| 2020-04-04 |         5552.0         |           30.0          |      194.0      |       2.0        |
| 2020-04-05 |         5693.0         |           35.0          |      141.0      |       5.0        |
| 2020-04-06 |         5800.0         |           41.0          |      107.0      |       6.0        |
| 2020-04-07 |         5919.0         |           45.0          |      119.0      |       4.0        |
+------------+------------------------+-------------------------+-----------------+------------------+
