+----------------------------------------------------------------------------------------------------+
|                         Covid-19 data for austria collected on :2020-04-10                         |
+------------+------------------------+-------------------------+-----------------+------------------+
|    Date    | Daily cumulative cases | Daily cumulative deaths | Daily new cases | Daily new deaths |
+------------+------------------------+-------------------------+-----------------+------------------+
| 2020-02-29 |          5.0           |            0            |        0        |        0         |
| 2020-03-01 |          10.0          |            0            |       5.0       |        0         |
| 2020-03-02 |          10.0          |            0            |       0.0       |        0         |
| 2020-03-03 |          18.0          |            0            |       8.0       |        0         |
| 2020-03-04 |          24.0          |            0            |       6.0       |        0         |
| 2020-03-05 |          37.0          |            0            |       13.0      |        0         |
| 2020-03-06 |          47.0          |            0            |       10.0      |        0         |
| 2020-03-07 |          66.0          |            0            |       19.0      |        0         |
| 2020-03-08 |         104.0          |            0            |       38.0      |        0         |
| 2020-03-09 |         112.0          |            0            |       8.0       |        0         |
| 2020-03-10 |         131.0          |            0            |       19.0      |        0         |
| 2020-03-11 |         182.0          |            0            |       51.0      |        0         |
| 2020-03-12 |         361.0          |           1.0           |      179.0      |        0         |
| 2020-03-13 |         504.0          |           1.0           |      143.0      |       0.0        |
| 2020-03-14 |         655.0          |           1.0           |      151.0      |       0.0        |
| 2020-03-15 |         860.0          |           1.0           |      205.0      |       0.0        |
| 2020-03-16 |         1016.0         |           3.0           |      156.0      |       2.0        |
| 2020-03-17 |         1332.0         |           3.0           |      316.0      |       0.0        |
| 2020-03-18 |         1647.0         |           4.0           |      315.0      |       1.0        |
| 2020-03-19 |         2013.0         |           6.0           |      366.0      |       2.0        |
| 2020-03-20 |         2388.0         |           6.0           |      375.0      |       0.0        |
| 2020-03-21 |         2814.0         |           8.0           |      426.0      |       2.0        |
| 2020-03-22 |         3244.0         |           16.0          |      430.0      |       8.0        |
| 2020-03-23 |         3924.0         |           21.0          |      680.0      |       5.0        |
| 2020-03-24 |         4876.0         |           28.0          |      952.0      |       7.0        |
| 2020-03-25 |         5560.0         |           31.0          |      684.0      |       3.0        |
| 2020-03-26 |         6349.0         |           49.0          |      789.0      |       18.0       |
| 2020-03-27 |         7341.0         |           58.0          |      992.0      |       9.0        |
| 2020-03-28 |         7927.0         |           68.0          |      586.0      |       10.0       |
| 2020-03-29 |         8536.0         |           86.0          |      609.0      |       18.0       |
| 2020-03-30 |         9377.0         |          108.0          |      841.0      |       22.0       |
| 2020-03-31 |         9974.0         |          128.0          |      597.0      |       20.0       |
| 2020-04-01 |        10482.0         |          146.0          |      508.0      |       18.0       |
| 2020-04-02 |        10967.0         |          158.0          |      485.0      |       12.0       |
| 2020-04-03 |        11383.0         |          168.0          |      416.0      |       10.0       |
| 2020-04-04 |        11665.0         |          168.0          |      282.0      |       0.0        |
| 2020-04-05 |        11907.0         |          204.0          |      242.0      |       36.0       |
| 2020-04-06 |        12206.0         |          220.0          |      299.0      |       16.0       |
| 2020-04-07 |        12519.0         |          243.0          |      313.0      |       23.0       |
| 2020-04-08 |        12852.0         |          273.0          |      333.0      |       30.0       |
+------------+------------------------+-------------------------+-----------------+------------------+
