+----------------------------------------------------------------------------------------------------+
|                         Covid-19 data for belgium collected on :2020-04-10                         |
+------------+------------------------+-------------------------+-----------------+------------------+
|    Date    | Daily cumulative cases | Daily cumulative deaths | Daily new cases | Daily new deaths |
+------------+------------------------+-------------------------+-----------------+------------------+
| 2020-02-04 |          1.0           |            0            |        0        |        0         |
| 2020-03-01 |          2.0           |            0            |       1.0       |        0         |
| 2020-03-02 |          8.0           |            0            |       6.0       |        0         |
| 2020-03-03 |          13.0          |            0            |       5.0       |        0         |
| 2020-03-04 |          23.0          |            0            |       10.0      |        0         |
| 2020-03-05 |          50.0          |            0            |       27.0      |        0         |
| 2020-03-06 |         109.0          |            0            |       59.0      |        0         |
| 2020-03-07 |         169.0          |            0            |       60.0      |        0         |
| 2020-03-08 |         200.0          |            0            |       31.0      |        0         |
| 2020-03-09 |         239.0          |            0            |       39.0      |        0         |
| 2020-03-10 |         267.0          |           1.0           |       28.0      |        0         |
| 2020-03-11 |         314.0          |           3.0           |       47.0      |       2.0        |
| 2020-03-12 |         399.0          |           3.0           |       85.0      |       0.0        |
| 2020-03-13 |         559.0          |           3.0           |      160.0      |       0.0        |
| 2020-03-14 |         689.0          |           4.0           |      130.0      |       1.0        |
| 2020-03-15 |         886.0          |           4.0           |      197.0      |       0.0        |
| 2020-03-16 |         1058.0         |           5.0           |      172.0      |       1.0        |
| 2020-03-17 |         1243.0         |           10.0          |      185.0      |       5.0        |
| 2020-03-18 |         1486.0         |           14.0          |      243.0      |       4.0        |
| 2020-03-19 |         1795.0         |           21.0          |      309.0      |       7.0        |
| 2020-03-20 |         2257.0         |           37.0          |      462.0      |       16.0       |
| 2020-03-21 |         2815.0         |           67.0          |      558.0      |       30.0       |
| 2020-03-22 |         3401.0         |           75.0          |      586.0      |       8.0        |
| 2020-03-23 |         3743.0         |           88.0          |      342.0      |       13.0       |
| 2020-03-24 |         4269.0         |          122.0          |      526.0      |       34.0       |
| 2020-03-25 |         4937.0         |          178.0          |      668.0      |       56.0       |
| 2020-03-26 |         6235.0         |          220.0          |      1298.0     |       42.0       |
| 2020-03-27 |         7284.0         |          289.0          |      1049.0     |       69.0       |
| 2020-03-28 |         9134.0         |          353.0          |      1850.0     |       64.0       |
| 2020-03-29 |        10386.0         |          431.0          |      1252.0     |       78.0       |
| 2020-03-30 |        11899.0         |          513.0          |      1513.0     |       82.0       |
| 2020-03-31 |        12775.0         |          705.0          |      876.0      |      192.0       |
| 2020-04-01 |        13964.0         |          828.0          |      1189.0     |      123.0       |
| 2020-04-02 |        15348.0         |          1011.0         |      1384.0     |      183.0       |
| 2020-04-03 |        16770.0         |          1143.0         |      1422.0     |      132.0       |
| 2020-04-04 |        18431.0         |          1283.0         |      1661.0     |      140.0       |
| 2020-04-05 |        19691.0         |          1447.0         |      1260.0     |      164.0       |
| 2020-04-06 |        20814.0         |          1632.0         |      1123.0     |      185.0       |
| 2020-04-07 |        22194.0         |          2035.0         |      1380.0     |      403.0       |
| 2020-04-08 |        23403.0         |          2240.0         |      1209.0     |      205.0       |
+------------+------------------------+-------------------------+-----------------+------------------+
