+----------------------------------------------------------------------------------------------------+
|                         Covid-19 data for brazil collected on :2020-04-10                          |
+------------+------------------------+-------------------------+-----------------+------------------+
|    Date    | Daily cumulative cases | Daily cumulative deaths | Daily new cases | Daily new deaths |
+------------+------------------------+-------------------------+-----------------+------------------+
| 2020-02-26 |          1.0           |            0            |        0        |        0         |
| 2020-02-27 |          1.0           |            0            |       0.0       |        0         |
| 2020-02-28 |          1.0           |            0            |       0.0       |        0         |
| 2020-02-29 |          2.0           |            0            |       1.0       |        0         |
| 2020-03-01 |          2.0           |            0            |       0.0       |        0         |
| 2020-03-02 |          2.0           |            0            |       0.0       |        0         |
| 2020-03-03 |          2.0           |            0            |       0.0       |        0         |
| 2020-03-04 |          3.0           |            0            |       1.0       |        0         |
| 2020-03-05 |          8.0           |            0            |       5.0       |        0         |
| 2020-03-06 |          13.0          |            0            |       5.0       |        0         |
| 2020-03-07 |          19.0          |            0            |       6.0       |        0         |
| 2020-03-08 |          25.0          |            0            |       6.0       |        0         |
| 2020-03-09 |          25.0          |            0            |       0.0       |        0         |
| 2020-03-10 |          35.0          |            0            |       10.0      |        0         |
| 2020-03-11 |          69.0          |            0            |       34.0      |        0         |
| 2020-03-12 |          77.0          |            0            |       8.0       |        0         |
| 2020-03-13 |          98.0          |            0            |       21.0      |        0         |
| 2020-03-14 |         121.0          |            0            |       23.0      |        0         |
| 2020-03-15 |         200.0          |            0            |       79.0      |        0         |
| 2020-03-16 |         234.0          |            0            |       34.0      |        0         |
| 2020-03-17 |         291.0          |           1.0           |       57.0      |        0         |
| 2020-03-18 |         428.0          |           4.0           |      137.0      |       3.0        |
| 2020-03-19 |         621.0          |           7.0           |      193.0      |       3.0        |
| 2020-03-20 |         904.0          |           11.0          |      283.0      |       4.0        |
| 2020-03-21 |         1128.0         |           18.0          |      224.0      |       7.0        |
| 2020-03-22 |         1546.0         |           25.0          |      418.0      |       7.0        |
| 2020-03-23 |         1891.0         |           34.0          |      345.0      |       9.0        |
| 2020-03-24 |         2201.0         |           46.0          |      310.0      |       12.0       |
| 2020-03-25 |         2433.0         |           57.0          |      232.0      |       11.0       |
| 2020-03-26 |         2915.0         |           77.0          |      482.0      |       20.0       |
| 2020-03-27 |         3417.0         |           92.0          |      502.0      |       15.0       |
| 2020-03-28 |         3904.0         |          114.0          |      487.0      |       22.0       |
| 2020-03-29 |         4256.0         |          136.0          |      352.0      |       22.0       |
| 2020-03-30 |         4579.0         |          159.0          |      323.0      |       23.0       |
| 2020-03-31 |         5717.0         |          201.0          |      1138.0     |       42.0       |
| 2020-04-01 |         6836.0         |          240.0          |      1119.0     |       39.0       |
| 2020-04-02 |         7910.0         |          299.0          |      1074.0     |       59.0       |
| 2020-04-03 |         9056.0         |          359.0          |      1146.0     |       60.0       |
| 2020-04-04 |        10278.0         |          431.0          |      1222.0     |       72.0       |
| 2020-04-05 |        11130.0         |          486.0          |      852.0      |       55.0       |
| 2020-04-06 |        12056.0         |          553.0          |      926.0      |       67.0       |
| 2020-04-07 |        13717.0         |          667.0          |      1661.0     |      114.0       |
| 2020-04-08 |        15927.0         |          800.0          |      2210.0     |      133.0       |
+------------+------------------------+-------------------------+-----------------+------------------+
