+----------------------------------------------------------------------------------------------------+
|                          Covid-19 data for china collected on :2020-04-10                          |
+------------+------------------------+-------------------------+-----------------+------------------+
|    Date    | Daily cumulative cases | Daily cumulative deaths | Daily new cases | Daily new deaths |
+------------+------------------------+-------------------------+-----------------+------------------+
| 2020-01-16 |          45.0          |            0            |        0        |        0         |
| 2020-01-17 |          62.0          |            0            |       17.0      |        0         |
| 2020-01-18 |         121.0          |            0            |       59.0      |        0         |
| 2020-01-19 |         198.0          |            0            |       77.0      |        0         |
| 2020-01-20 |         291.0          |            0            |       93.0      |        0         |
| 2020-01-21 |         440.0          |            0            |      149.0      |        0         |
| 2020-01-22 |         571.0          |            0            |      131.0      |        0         |
| 2020-01-23 |         830.0          |            0            |      259.0      |        0         |
| 2020-01-24 |         1287.0         |            0            |      457.0      |        0         |
| 2020-01-25 |         1975.0         |            0            |      688.0      |        0         |
| 2020-01-26 |         2744.0         |            0            |      769.0      |        0         |
| 2020-01-27 |         4515.0         |            0            |      1771.0     |        0         |
| 2020-01-28 |         5974.0         |            0            |      1459.0     |        0         |
| 2020-01-29 |         7711.0         |            0            |      1737.0     |        0         |
| 2020-01-30 |         9692.0         |            0            |      1981.0     |        0         |
| 2020-01-31 |        11791.0         |            0            |      2099.0     |        0         |
| 2020-02-01 |        14380.0         |            0            |      2589.0     |        0         |
| 2020-02-02 |        17205.0         |            0            |      2825.0     |        0         |
| 2020-02-03 |        20438.0         |            0            |      3233.0     |        0         |
| 2020-02-04 |        24324.0         |            0            |      3886.0     |        0         |
| 2020-02-05 |        28018.0         |            0            |      3694.0     |        0         |
| 2020-02-06 |        31161.0         |            0            |      3143.0     |        0         |
| 2020-02-07 |        34546.0         |            0            |      3385.0     |        0         |
| 2020-02-08 |        37198.0         |            0            |      2652.0     |        0         |
| 2020-02-09 |        40171.0         |            0            |      2973.0     |        0         |
| 2020-02-10 |        48315.0         |            0            |      8144.0     |        0         |
| 2020-02-11 |        55220.0         |            0            |      6905.0     |        0         |
| 2020-02-12 |        58761.0         |            0            |      3541.0     |        0         |
| 2020-02-13 |        63851.0         |            0            |      5090.0     |        0         |
| 2020-02-14 |        66492.0         |            0            |      2641.0     |        0         |
| 2020-02-15 |        68500.0         |            0            |      2008.0     |        0         |
| 2020-02-16 |        70548.0         |            0            |      2048.0     |        0         |
| 2020-02-17 |        72436.0         |            0            |      1888.0     |        0         |
| 2020-02-18 |        74185.0         |            0            |      1749.0     |        0         |
| 2020-02-19 |        75002.0         |            0            |      817.0      |        0         |
| 2020-02-20 |        75891.0         |            0            |      889.0      |        0         |
| 2020-02-21 |        76288.0         |            0            |      397.0      |        0         |
| 2020-02-22 |        76936.0         |            0            |      648.0      |        0         |
| 2020-02-23 |        77150.0         |            0            |      214.0      |        0         |
| 2020-02-24 |        77658.0         |            0            |      508.0      |        0         |
| 2020-02-25 |        78064.0         |            0            |      406.0      |        0         |
| 2020-02-26 |        78497.0         |            0            |      433.0      |        0         |
| 2020-02-27 |        78824.0         |            0            |      327.0      |        0         |
| 2020-02-28 |        79251.0         |            0            |      427.0      |        0         |
| 2020-02-29 |        79824.0         |            0            |      573.0      |        0         |
| 2020-03-02 |        80151.0         |            0            |      327.0      |        0         |
| 2020-03-03 |        80270.0         |            0            |      119.0      |        0         |
| 2020-03-04 |        80409.0         |            0            |      139.0      |        0         |
| 2020-03-05 |        80552.0         |            0            |      143.0      |        0         |
| 2020-03-06 |        80651.0         |            0            |       99.0      |        0         |
| 2020-03-07 |        80695.0         |            0            |       44.0      |        0         |
| 2020-03-08 |        80735.0         |            0            |       40.0      |        0         |
| 2020-03-09 |        80754.0         |            0            |       19.0      |        0         |
| 2020-03-10 |        80778.0         |            0            |       24.0      |        0         |
| 2020-03-11 |        80793.0         |            0            |       15.0      |        0         |
| 2020-03-12 |        80813.0         |            0            |       20.0      |        0         |
| 2020-03-13 |        80824.0         |            0            |       11.0      |        0         |
| 2020-03-14 |        80844.0         |            0            |       20.0      |        0         |
| 2020-03-15 |        80860.0         |            0            |       16.0      |        0         |
| 2020-03-16 |        80881.0         |            0            |       21.0      |        0         |
| 2020-03-17 |        80894.0         |            0            |       13.0      |        0         |
| 2020-03-18 |        80928.0         |            0            |       34.0      |        0         |
| 2020-03-19 |        80967.0         |            0            |       39.0      |        0         |
| 2020-03-20 |        81008.0         |            0            |       41.0      |        0         |
| 2020-03-21 |        81054.0         |            0            |       46.0      |        0         |
| 2020-03-22 |        81093.0         |            0            |       39.0      |        0         |
| 2020-03-23 |        81171.0         |            0            |       78.0      |        0         |
| 2020-03-24 |        81218.0         |            0            |       47.0      |        0         |
| 2020-03-25 |        81285.0         |            0            |       67.0      |        0         |
| 2020-03-26 |        81340.0         |            0            |       55.0      |        0         |
| 2020-03-27 |        81394.0         |            0            |       54.0      |        0         |
| 2020-03-28 |        81439.0         |            0            |       45.0      |        0         |
| 2020-03-29 |        81470.0         |            0            |       31.0      |        0         |
| 2020-03-30 |        81518.0         |            0            |       48.0      |        0         |
| 2020-03-31 |        81554.0         |            0            |       36.0      |        0         |
| 2020-04-01 |        81589.0         |            0            |       35.0      |        0         |
| 2020-04-02 |        81620.0         |            0            |       31.0      |        0         |
| 2020-04-03 |        81639.0         |            0            |       19.0      |        0         |
| 2020-04-04 |        81669.0         |            0            |       30.0      |        0         |
| 2020-04-05 |        81708.0         |            0            |       39.0      |        0         |
+------------+------------------------+-------------------------+-----------------+------------------+
