+----------------------------------------------------------------------------------------------------+
|                      Covid-19 data for czechrepublic collected on :2020-04-10                      |
+------------+------------------------+-------------------------+-----------------+------------------+
|    Date    | Daily cumulative cases | Daily cumulative deaths | Daily new cases | Daily new deaths |
+------------+------------------------+-------------------------+-----------------+------------------+
| 2020-03-1  |          3.0           |            0            |        0        |        0         |
| 2020-03-2  |          4.0           |            0            |       1.0       |        0         |
| 2020-03-3  |          5.0           |            0            |       1.0       |        0         |
| 2020-03-4  |          8.0           |            0            |       3.0       |        0         |
| 2020-03-5  |          12.0          |            0            |       4.0       |        0         |
| 2020-03-6  |          19.0          |            0            |       7.0       |        0         |
| 2020-03-7  |          26.0          |            0            |       7.0       |        0         |
| 2020-03-8  |          32.0          |            0            |       6.0       |        0         |
| 2020-03-9  |          38.0          |            0            |       6.0       |        0         |
| 2020-03-10 |          63.0          |            0            |       25.0      |        0         |
| 2020-03-11 |          94.0          |            0            |       31.0      |        0         |
| 2020-03-12 |         116.0          |            0            |       22.0      |        0         |
| 2020-03-13 |         141.0          |            0            |       25.0      |        0         |
| 2020-03-14 |         189.0          |            0            |       48.0      |        0         |
| 2020-03-15 |         298.0          |            0            |      109.0      |        0         |
| 2020-03-16 |         383.0          |            0            |       85.0      |        0         |
| 2020-03-17 |         450.0          |            0            |       67.0      |        0         |
| 2020-03-18 |         560.0          |            0            |      110.0      |        0         |
| 2020-03-19 |         765.0          |            0            |      205.0      |        0         |
| 2020-03-20 |         889.0          |            0            |      124.0      |        0         |
| 2020-03-21 |         995.0          |            0            |      106.0      |        0         |
| 2020-03-22 |         1120.0         |           1.0           |      125.0      |        0         |
| 2020-03-23 |         1236.0         |           1.0           |      116.0      |       0.0        |
| 2020-03-24 |         1394.0         |           2.0           |      158.0      |       1.0        |
| 2020-03-25 |         1654.0         |           6.0           |      260.0      |       4.0        |
| 2020-03-26 |         1925.0         |           9.0           |      271.0      |       3.0        |
| 2020-03-27 |         2279.0         |           9.0           |      354.0      |       0.0        |
| 2020-03-28 |         2631.0         |           11.0          |      352.0      |       2.0        |
| 2020-03-29 |         2817.0         |           16.0          |      186.0      |       5.0        |
| 2020-03-30 |         2976.0         |           23.0          |      159.0      |       7.0        |
| 2020-03-31 |         3308.0         |           35.0          |      332.0      |       12.0       |
| 2020-04-01 |         3589.0         |           42.0          |      281.0      |       7.0        |
| 2020-04-02 |         3858.0         |           50.0          |      269.0      |       8.0        |
| 2020-04-03 |         4190.0         |           56.0          |      332.0      |       6.0        |
| 2020-04-04 |         4472.0         |           63.0          |      282.0      |       7.0        |
| 2020-04-05 |         4587.0         |           71.0          |      115.0      |       8.0        |
| 2020-04-06 |         4822.0         |           84.0          |      235.0      |       13.0       |
| 2020-04-07 |         5017.0         |           90.0          |      195.0      |       6.0        |
| 2020-04-08 |         5221.0         |           99.0          |      204.0      |       9.0        |
+------------+------------------------+-------------------------+-----------------+------------------+
