+----------------------------------------------------------------------------------------------------+
|                         Covid-19 data for denmark collected on :2020-04-10                         |
+------------+------------------------+-------------------------+-----------------+------------------+
|    Date    | Daily cumulative cases | Daily cumulative deaths | Daily new cases | Daily new deaths |
+------------+------------------------+-------------------------+-----------------+------------------+
| 2020-02-27 |          1.0           |            0            |        0        |        0         |
| 2020-02-28 |          2.0           |            0            |       1.0       |        0         |
| 2020-02-29 |          3.0           |            0            |       1.0       |        0         |
| 2020-03-01 |          4.0           |            0            |       1.0       |        0         |
| 2020-03-02 |          4.0           |            0            |       0.0       |        0         |
| 2020-03-03 |          10.0          |            0            |       6.0       |        0         |
| 2020-03-04 |          15.0          |            0            |       5.0       |        0         |
| 2020-03-05 |          20.0          |            0            |       5.0       |        0         |
| 2020-03-06 |          23.0          |            0            |       3.0       |        0         |
| 2020-03-07 |          29.0          |            0            |       6.0       |        0         |
| 2020-03-08 |          37.0          |            0            |       8.0       |        0         |
| 2020-03-09 |          92.0          |            0            |       55.0      |        0         |
| 2020-03-10 |         264.0          |            0            |      172.0      |        0         |
| 2020-03-11 |         516.0          |            0            |      252.0      |        0         |
| 2020-03-12 |         676.0          |           1.0           |      160.0      |        0         |
| 2020-03-13 |         804.0          |           1.0           |      128.0      |       0.0        |
| 2020-03-14 |         836.0          |           2.0           |       32.0      |       1.0        |
| 2020-03-15 |         875.0          |           4.0           |       39.0      |       2.0        |
| 2020-03-16 |         932.0          |           5.0           |       57.0      |       1.0        |
| 2020-03-17 |         1024.0         |           6.0           |       92.0      |       1.0        |
| 2020-03-18 |         1115.0         |           9.0           |       91.0      |       3.0        |
| 2020-03-19 |         1223.0         |           14.0          |      108.0      |       5.0        |
| 2020-03-20 |         1335.0         |           18.0          |      112.0      |       4.0        |
| 2020-03-21 |         1418.0         |           21.0          |       83.0      |       3.0        |
| 2020-03-22 |         1512.0         |           24.0          |       94.0      |       3.0        |
| 2020-03-23 |         1582.0         |           24.0          |       70.0      |       0.0        |
| 2020-03-24 |         1717.0         |           32.0          |      135.0      |       8.0        |
| 2020-03-25 |         1861.0         |           34.0          |      144.0      |       2.0        |
| 2020-03-26 |         2023.0         |           41.0          |      162.0      |       7.0        |
| 2020-03-27 |         2199.0         |           52.0          |      176.0      |       11.0       |
| 2020-03-28 |         2366.0         |           65.0          |      167.0      |       13.0       |
| 2020-03-29 |         2564.0         |           72.0          |      198.0      |       7.0        |
| 2020-03-30 |         2733.0         |           77.0          |      169.0      |       5.0        |
| 2020-03-31 |         3039.0         |           90.0          |      306.0      |       13.0       |
| 2020-04-01 |         3290.0         |          104.0          |      251.0      |       14.0       |
| 2020-04-02 |         3573.0         |          123.0          |      283.0      |       19.0       |
| 2020-04-03 |         3946.0         |          139.0          |      373.0      |       16.0       |
| 2020-04-04 |         4268.0         |          161.0          |      322.0      |       22.0       |
| 2020-04-05 |         4561.0         |          179.0          |      293.0      |       18.0       |
| 2020-04-06 |         4875.0         |          187.0          |      314.0      |       8.0        |
| 2020-04-07 |         5266.0         |          203.0          |      391.0      |       16.0       |
| 2020-04-08 |         5581.0         |          218.0          |      315.0      |       15.0       |
+------------+------------------------+-------------------------+-----------------+------------------+
