+----------------------------------------------------------------------------------------------------+
|                          Covid-19 data for egypt collected on :2020-04-10                          |
+------------+------------------------+-------------------------+-----------------+------------------+
|    Date    | Daily cumulative cases | Daily cumulative deaths | Daily new cases | Daily new deaths |
+------------+------------------------+-------------------------+-----------------+------------------+
| 2020-03-04 |          3.0           |            0            |        0        |        0         |
| 2020-03-05 |          15.0          |            0            |       12.0      |        0         |
| 2020-03-06 |          15.0          |            0            |       0.0       |        0         |
| 2020-03-07 |          49.0          |            0            |       34.0      |        0         |
| 2020-03-08 |          55.0          |            0            |       6.0       |        0         |
| 2020-03-09 |          59.0          |            0            |       4.0       |        0         |
| 2020-03-10 |          60.0          |            0            |       1.0       |        0         |
| 2020-03-11 |          67.0          |            0            |       7.0       |        0         |
| 2020-03-12 |          80.0          |            0            |       13.0      |        0         |
| 2020-03-13 |          94.0          |            0            |       14.0      |        0         |
| 2020-03-14 |         109.0          |            0            |       15.0      |        0         |
| 2020-03-15 |         110.0          |            0            |       1.0       |        0         |
| 2020-03-16 |         150.0          |            0            |       40.0      |        0         |
| 2020-03-17 |         196.0          |            0            |       46.0      |        0         |
| 2020-03-18 |         196.0          |            0            |       0.0       |        0         |
| 2020-03-19 |         256.0          |            0            |       60.0      |        0         |
| 2020-03-20 |         285.0          |            0            |       29.0      |        0         |
| 2020-03-21 |         294.0          |            0            |       9.0       |        0         |
| 2020-03-22 |         327.0          |            0            |       33.0      |        0         |
| 2020-03-23 |         366.0          |            0            |       39.0      |        0         |
| 2020-03-24 |         402.0          |            0            |       36.0      |        0         |
| 2020-03-25 |         456.0          |           21.0          |       54.0      |        0         |
| 2020-03-26 |         495.0          |           24.0          |       39.0      |       3.0        |
| 2020-03-27 |         536.0          |           30.0          |       41.0      |       6.0        |
| 2020-03-28 |         576.0          |           36.0          |       40.0      |       6.0        |
| 2020-03-29 |         609.0          |           40.0          |       33.0      |       4.0        |
| 2020-03-30 |         656.0          |           41.0          |       47.0      |       1.0        |
| 2020-03-31 |         710.0          |           46.0          |       54.0      |       5.0        |
| 2020-04-01 |         779.0          |           52.0          |       69.0      |       6.0        |
| 2020-04-02 |         865.0          |           58.0          |       86.0      |       6.0        |
| 2020-04-03 |         985.0          |           66.0          |      120.0      |       8.0        |
| 2020-04-04 |         1070.0         |           71.0          |       85.0      |       5.0        |
| 2020-04-05 |         1173.0         |           78.0          |      103.0      |       7.0        |
| 2020-04-06 |         1322.0         |           85.0          |      149.0      |       7.0        |
| 2020-04-07 |         1450.0         |           94.0          |      128.0      |       9.0        |
+------------+------------------------+-------------------------+-----------------+------------------+
