+----------------------------------------------------------------------------------------------------+
|                         Covid-19 data for estonia collected on :2020-04-10                         |
+------------+------------------------+-------------------------+-----------------+------------------+
|    Date    | Daily cumulative cases | Daily cumulative deaths | Daily new cases | Daily new deaths |
+------------+------------------------+-------------------------+-----------------+------------------+
| 2020-03-02 |          2.0           |            0            |        0        |        0         |
| 2020-03-03 |          3.0           |            0            |       1.0       |        0         |
| 2020-03-04 |          3.0           |            0            |       0.0       |        0         |
| 2020-03-05 |          5.0           |            0            |       2.0       |        0         |
| 2020-03-06 |          10.0          |            0            |       5.0       |        0         |
| 2020-03-07 |          10.0          |            0            |       0.0       |        0         |
| 2020-03-08 |          10.0          |            0            |       0.0       |        0         |
| 2020-03-09 |          10.0          |            0            |       0.0       |        0         |
| 2020-03-10 |          13.0          |            0            |       3.0       |        0         |
| 2020-03-11 |          17.0          |            0            |       4.0       |        0         |
| 2020-03-12 |          41.0          |            0            |       24.0      |        0         |
| 2020-03-13 |          79.0          |            0            |       38.0      |        0         |
| 2020-03-14 |         115.0          |            0            |       36.0      |        0         |
| 2020-03-15 |         171.0          |            0            |       56.0      |        0         |
| 2020-03-16 |         205.0          |            0            |       34.0      |        0         |
| 2020-03-17 |         225.0          |            0            |       20.0      |        0         |
| 2020-03-18 |         258.0          |            0            |       33.0      |        0         |
| 2020-03-19 |         267.0          |            0            |       9.0       |        0         |
| 2020-03-20 |         283.0          |            0            |       16.0      |        0         |
| 2020-03-21 |         306.0          |            0            |       23.0      |        0         |
| 2020-03-22 |         326.0          |            0            |       20.0      |        0         |
| 2020-03-23 |         352.0          |            0            |       26.0      |        0         |
| 2020-03-24 |         369.0          |            0            |       17.0      |        0         |
| 2020-03-25 |         404.0          |           1.0           |       35.0      |        0         |
| 2020-03-26 |         538.0          |           1.0           |      134.0      |       0.0        |
| 2020-03-27 |         575.0          |           1.0           |       37.0      |       0.0        |
| 2020-03-28 |         640.0          |           1.0           |       65.0      |       0.0        |
| 2020-03-29 |         679.0          |           3.0           |       39.0      |       2.0        |
| 2020-03-30 |         715.0          |           3.0           |       36.0      |       0.0        |
| 2020-03-31 |         745.0          |           4.0           |       30.0      |       1.0        |
| 2020-04-01 |         779.0          |           5.0           |       34.0      |       1.0        |
| 2020-04-02 |         858.0          |           11.0          |       79.0      |       6.0        |
| 2020-04-03 |         961.0          |           12.0          |      103.0      |       1.0        |
| 2020-04-04 |         1018.0         |           13.0          |       57.0      |       1.0        |
| 2020-04-05 |         1097.0         |           15.0          |       79.0      |       2.0        |
| 2020-04-06 |         1108.0         |           19.0          |       11.0      |       4.0        |
| 2020-04-07 |         1149.0         |           21.0          |       41.0      |       2.0        |
| 2020-04-08 |         1185.0         |           24.0          |       36.0      |       3.0        |
+------------+------------------------+-------------------------+-----------------+------------------+
