+----------------------------------------------------------------------------------------------------+
|                        Covid-19 data for india.bak collected on :2020-04-10                        |
+------------+------------------------+-------------------------+-----------------+------------------+
|    Date    | Daily cumulative cases | Daily cumulative deaths | Daily new cases | Daily new deaths |
+------------+------------------------+-------------------------+-----------------+------------------+
| 2020-01-21 |          0.0           |            0            |        0        |        0         |
| 2020-01-22 |          0.0           |            0            |       0.0       |        0         |
| 2020-01-23 |          0.0           |            0            |       0.0       |        0         |
| 2020-01-24 |          0.0           |            0            |       0.0       |        0         |
| 2020-01-25 |          0.0           |            0            |       0.0       |        0         |
| 2020-01-26 |          0.0           |            0            |       0.0       |        0         |
| 2020-01-27 |          0.0           |            0            |       0.0       |        0         |
| 2020-01-28 |          0.0           |            0            |       0.0       |        0         |
| 2020-01-29 |          1.0           |            0            |       1.0       |        0         |
| 2020-01-30 |          1.0           |            0            |       0.0       |        0         |
| 2020-01-31 |          1.0           |            0            |       0.0       |        0         |
| 2020-02-01 |          2.0           |            0            |       1.0       |        0         |
| 2020-02-02 |          3.0           |            0            |       1.0       |        0         |
| 2020-02-03 |          3.0           |            0            |       0.0       |        0         |
| 2020-02-04 |          3.0           |            0            |       0.0       |        0         |
| 2020-02-05 |          3.0           |            0            |       0.0       |        0         |
| 2020-02-06 |          3.0           |            0            |       0.0       |        0         |
| 2020-02-07 |          3.0           |            0            |       0.0       |        0         |
| 2020-02-08 |          3.0           |            0            |       0.0       |        0         |
| 2020-02-09 |          3.0           |            0            |       0.0       |        0         |
| 2020-02-10 |          3.0           |            0            |       0.0       |        0         |
| 2020-02-11 |          3.0           |            0            |       0.0       |        0         |
| 2020-02-12 |          3.0           |            0            |       0.0       |        0         |
| 2020-02-13 |          3.0           |            0            |       0.0       |        0         |
| 2020-02-14 |          3.0           |            0            |       0.0       |        0         |
| 2020-02-15 |          3.0           |            0            |       0.0       |        0         |
| 2020-02-16 |          3.0           |            0            |       0.0       |        0         |
| 2020-02-17 |          3.0           |            0            |       0.0       |        0         |
| 2020-02-18 |          3.0           |            0            |       0.0       |        0         |
| 2020-02-19 |          3.0           |            0            |       0.0       |        0         |
| 2020-02-20 |          3.0           |            0            |       0.0       |        0         |
| 2020-02-21 |          3.0           |            0            |       0.0       |        0         |
| 2020-02-22 |          3.0           |            0            |       0.0       |        0         |
| 2020-02-23 |          3.0           |            0            |       0.0       |        0         |
| 2020-02-24 |          3.0           |            0            |       0.0       |        0         |
| 2020-02-25 |          3.0           |            0            |       0.0       |        0         |
| 2020-02-26 |          3.0           |            0            |       0.0       |        0         |
| 2020-02-27 |          3.0           |            0            |       0.0       |        0         |
| 2020-02-28 |          3.0           |            0            |       0.0       |        0         |
| 2020-02-29 |          3.0           |            0            |       0.0       |        0         |
| 2020-03-01 |          5.0           |            0            |       2.0       |        0         |
| 2020-03-02 |          5.0           |            0            |       0.0       |        0         |
| 2020-03-03 |          28.0          |            0            |       23.0      |        0         |
| 2020-03-04 |          30.0          |            0            |       2.0       |        0         |
| 2020-03-05 |          31.0          |            0            |       1.0       |        0         |
| 2020-03-06 |          34.0          |            0            |       3.0       |        0         |
| 2020-03-07 |          39.0          |            0            |       5.0       |        0         |
| 2020-03-08 |          43.0          |            0            |       4.0       |        0         |
| 2020-03-09 |          56.0          |            0            |       13.0      |        0         |
| 2020-03-10 |          62.0          |            0            |       6.0       |        0         |
| 2020-03-11 |          62.0          |            0            |       0.0       |        0         |
| 2020-03-12 |          74.0          |           1.0           |       12.0      |        0         |
| 2020-03-13 |          82.0          |           2.0           |       8.0       |       1.0        |
| 2020-03-14 |          97.0          |           2.0           |       15.0      |       0.0        |
| 2020-03-15 |         107.0          |           2.0           |       10.0      |       0.0        |
| 2020-03-16 |         114.0          |           2.0           |       7.0       |       0.0        |
| 2020-03-17 |         140.0          |           3.0           |       26.0      |       1.0        |
| 2020-03-18 |         151.0          |           3.0           |       11.0      |       0.0        |
| 2020-03-19 |         172.0          |           3.0           |       21.0      |       0.0        |
| 2020-03-20 |         223.0          |           4.0           |       51.0      |       1.0        |
| 2020-03-21 |         315.0          |           5.0           |       92.0      |       1.0        |
| 2020-03-22 |         391.0          |           7.0           |       76.0      |       2.0        |
| 2020-03-23 |         468.0          |           9.0           |       77.0      |       2.0        |
| 2020-03-24 |         519.0          |           9.0           |       51.0      |       0.0        |
| 2020-03-25 |         606.0          |           10.0          |       87.0      |       1.0        |
| 2020-03-26 |         694.0          |           16.0          |       88.0      |       6.0        |
| 2020-03-27 |         861.0          |           19.0          |      167.0      |       3.0        |
+------------+------------------------+-------------------------+-----------------+------------------+
