+----------------------------------------------------------------------------------------------------+
|                          Covid-19 data for iran collected on :2020-04-10                           |
+------------+------------------------+-------------------------+-----------------+------------------+
|    Date    | Daily cumulative cases | Daily cumulative deaths | Daily new cases | Daily new deaths |
+------------+------------------------+-------------------------+-----------------+------------------+
| 2020-02-19 |          2.0           |           2.0           |        0        |        0         |
| 2020-02-20 |          5.0           |           2.0           |       3.0       |       0.0        |
| 2020-02-21 |          18.0          |           4.0           |       13.0      |       2.0        |
| 2020-02-22 |          29.0          |           6.0           |       11.0      |       2.0        |
| 2020-02-23 |          43.0          |           8.0           |       14.0      |       2.0        |
| 2020-02-24 |          64.0          |           12.0          |       21.0      |       4.0        |
| 2020-02-25 |          95.0          |           16.0          |       31.0      |       4.0        |
| 2020-02-26 |         139.0          |           19.0          |       44.0      |       3.0        |
| 2020-02-27 |         245.0          |           26.0          |      106.0      |       7.0        |
| 2020-02-28 |         388.0          |           34.0          |      143.0      |       8.0        |
| 2020-02-29 |         593.0          |           43.0          |      205.0      |       9.0        |
| 2020-03-01 |         978.0          |           54.0          |      385.0      |       11.0       |
| 2020-03-02 |         1501.0         |           66.0          |      523.0      |       12.0       |
| 2020-03-03 |         2336.0         |           77.0          |      835.0      |       11.0       |
| 2020-03-04 |         2922.0         |           92.0          |      586.0      |       15.0       |
| 2020-03-05 |         3513.0         |          107.0          |      591.0      |       15.0       |
| 2020-03-06 |         4747.0         |          124.0          |      1234.0     |       17.0       |
| 2020-03-07 |         5823.0         |          145.0          |      1076.0     |       21.0       |
| 2020-03-08 |         6566.0         |          194.0          |      743.0      |       49.0       |
| 2020-03-09 |         7161.0         |          237.0          |      595.0      |       43.0       |
| 2020-03-10 |         8042.0         |          291.0          |      881.0      |       54.0       |
| 2020-03-11 |         9000.0         |          354.0          |      958.0      |       63.0       |
| 2020-03-12 |        10075.0         |          429.0          |      1075.0     |       75.0       |
| 2020-03-13 |        11364.0         |          514.0          |      1289.0     |       85.0       |
| 2020-03-14 |        12729.0         |          611.0          |      1365.0     |       97.0       |
| 2020-03-15 |        13938.0         |          724.0          |      1209.0     |      113.0       |
| 2020-03-16 |        14991.0         |          853.0          |      1053.0     |      129.0       |
| 2020-03-17 |        16169.0         |          988.0          |      1178.0     |      135.0       |
| 2020-03-18 |        17361.0         |          1135.0         |      1192.0     |      147.0       |
| 2020-03-19 |        18407.0         |          1284.0         |      1046.0     |      149.0       |
| 2020-03-20 |        19644.0         |          1433.0         |      1237.0     |      149.0       |
| 2020-03-21 |        20610.0         |          1556.0         |      966.0      |      123.0       |
| 2020-03-22 |        21638.0         |          1638.0         |      1028.0     |       82.0       |
| 2020-03-23 |        23049.0         |          1812.0         |      1411.0     |      174.0       |
| 2020-03-24 |        24811.0         |          1934.0         |      1762.0     |      122.0       |
| 2020-03-25 |        27077.0         |          2077.0         |      2266.0     |      143.0       |
| 2020-03-26 |        29406.0         |          2234.0         |      2329.0     |      157.0       |
| 2020-03-27 |        32332.0         |          2378.0         |      2926.0     |      144.0       |
| 2020-03-28 |        35408.0         |          2517.0         |      3076.0     |      139.0       |
| 2020-03-29 |        38309.0         |          2640.0         |      2901.0     |      123.0       |
| 2020-03-30 |        41495.0         |          2757.0         |      3186.0     |      117.0       |
| 2020-03-31 |        44606.0         |          2898.0         |      3111.0     |      141.0       |
| 2020-04-01 |        47593.0         |          3036.0         |      2987.0     |      138.0       |
| 2020-04-02 |        50468.0         |          3160.0         |      2875.0     |      124.0       |
| 2020-04-03 |        53183.0         |          3294.0         |      2715.0     |      134.0       |
| 2020-04-04 |        55743.0         |          3452.0         |      2560.0     |      158.0       |
| 2020-04-05 |        58226.0         |          3603.0         |      2483.0     |      151.0       |
| 2020-04-06 |        60500.0         |          3739.0         |      2274.0     |      136.0       |
| 2020-04-07 |        62589.0         |          3872.0         |      2089.0     |      133.0       |
| 2020-04-08 |        64586.0         |          3993.0         |      1997.0     |      121.0       |
+------------+------------------------+-------------------------+-----------------+------------------+
