+----------------------------------------------------------------------------------------------------+
|                         Covid-19 data for ireland collected on :2020-04-10                         |
+------------+------------------------+-------------------------+-----------------+------------------+
|    Date    | Daily cumulative cases | Daily cumulative deaths | Daily new cases | Daily new deaths |
+------------+------------------------+-------------------------+-----------------+------------------+
| 2020-03-03 |          2.0           |            0            |        0        |        0         |
| 2020-03-04 |          6.0           |            0            |       4.0       |        0         |
| 2020-03-05 |          13.0          |            0            |       7.0       |        0         |
| 2020-03-06 |          18.0          |            0            |       5.0       |        0         |
| 2020-03-07 |          19.0          |            0            |       1.0       |        0         |
| 2020-03-08 |          21.0          |            0            |       2.0       |        0         |
| 2020-03-09 |          24.0          |            0            |       3.0       |        0         |
| 2020-03-10 |          34.0          |            0            |       10.0      |        0         |
| 2020-03-11 |          43.0          |           1.0           |       9.0       |        0         |
| 2020-03-12 |          70.0          |           1.0           |       27.0      |       0.0        |
| 2020-03-13 |          90.0          |           1.0           |       20.0      |       0.0        |
| 2020-03-14 |         129.0          |           2.0           |       39.0      |       1.0        |
| 2020-03-15 |         169.0          |           2.0           |       40.0      |       0.0        |
| 2020-03-16 |         223.0          |           2.0           |       54.0      |       0.0        |
| 2020-03-17 |         292.0          |           2.0           |       69.0      |       0.0        |
| 2020-03-18 |         366.0          |           2.0           |       74.0      |       0.0        |
| 2020-03-19 |         557.0          |           3.0           |      191.0      |       1.0        |
| 2020-03-20 |         683.0          |           3.0           |      126.0      |       0.0        |
| 2020-03-21 |         785.0          |           3.0           |      102.0      |       0.0        |
| 2020-03-22 |         906.0          |           4.0           |      121.0      |       1.0        |
| 2020-03-23 |         1125.0         |           6.0           |      219.0      |       2.0        |
| 2020-03-24 |         1329.0         |           7.0           |      204.0      |       1.0        |
| 2020-03-25 |         1564.0         |           9.0           |      235.0      |       2.0        |
| 2020-03-26 |         1819.0         |           19.0          |      255.0      |       10.0       |
| 2020-03-27 |         2121.0         |           22.0          |      302.0      |       3.0        |
| 2020-03-28 |         2415.0         |           36.0          |      294.0      |       14.0       |
| 2020-03-29 |         2615.0         |           46.0          |      200.0      |       10.0       |
| 2020-03-30 |         2910.0         |           54.0          |      295.0      |       8.0        |
| 2020-03-31 |         3235.0         |           71.0          |      325.0      |       17.0       |
| 2020-04-01 |         3447.0         |           85.0          |      212.0      |       14.0       |
| 2020-04-02 |         3849.0         |           98.0          |      402.0      |       13.0       |
| 2020-04-03 |         4273.0         |          120.0          |      424.0      |       22.0       |
| 2020-04-04 |         4604.0         |          137.0          |      331.0      |       17.0       |
| 2020-04-05 |         4994.0         |          158.0          |      390.0      |       21.0       |
| 2020-04-06 |         5364.0         |          174.0          |      370.0      |       16.0       |
| 2020-04-07 |         5709.0         |          210.0          |      345.0      |       36.0       |
| 2020-04-08 |         6074.0         |          235.0          |      365.0      |       25.0       |
+------------+------------------------+-------------------------+-----------------+------------------+
