+----------------------------------------------------------------------------------------------------+
|                         Covid-19 data for israel collected on :2020-04-10                          |
+------------+------------------------+-------------------------+-----------------+------------------+
|    Date    | Daily cumulative cases | Daily cumulative deaths | Daily new cases | Daily new deaths |
+------------+------------------------+-------------------------+-----------------+------------------+
| 2020-02-22 |          1.0           |            0            |        0        |        0         |
| 2020-02-23 |          1.0           |            0            |       0.0       |        0         |
| 2020-02-24 |          1.0           |            0            |       0.0       |        0         |
| 2020-02-25 |          1.0           |            0            |       0.0       |        0         |
| 2020-02-26 |          1.0           |            0            |       0.0       |        0         |
| 2020-02-27 |          2.0           |            0            |       1.0       |        0         |
| 2020-02-28 |          3.0           |            0            |       1.0       |        0         |
| 2020-02-29 |          4.0           |            0            |       1.0       |        0         |
| 2020-03-01 |          7.0           |            0            |       3.0       |        0         |
| 2020-03-02 |          10.0          |            0            |       3.0       |        0         |
| 2020-03-03 |          10.0          |            0            |       0.0       |        0         |
| 2020-03-04 |          12.0          |            0            |       2.0       |        0         |
| 2020-03-05 |          15.0          |            0            |       3.0       |        0         |
| 2020-03-06 |          20.0          |            0            |       5.0       |        0         |
| 2020-03-07 |          37.0          |            0            |       17.0      |        0         |
| 2020-03-08 |          43.0          |            0            |       6.0       |        0         |
| 2020-03-09 |          61.0          |            0            |       18.0      |        0         |
| 2020-03-10 |          61.0          |            0            |       0.0       |        0         |
| 2020-03-11 |          83.0          |            0            |       22.0      |        0         |
| 2020-03-12 |         109.0          |            0            |       26.0      |        0         |
| 2020-03-13 |         143.0          |            0            |       34.0      |        0         |
| 2020-03-14 |         193.0          |            0            |       50.0      |        0         |
| 2020-03-15 |         213.0          |            0            |       20.0      |        0         |
| 2020-03-16 |         298.0          |            0            |       85.0      |        0         |
| 2020-03-17 |         324.0          |            0            |       26.0      |        0         |
| 2020-03-18 |         433.0          |            0            |      109.0      |        0         |
| 2020-03-19 |         677.0          |            0            |      244.0      |        0         |
| 2020-03-20 |         705.0          |           1.0           |       28.0      |        0         |
| 2020-03-21 |         883.0          |           1.0           |      178.0      |       0.0        |
| 2020-03-22 |         1071.0         |           1.0           |      188.0      |       0.0        |
| 2020-03-23 |         1442.0         |           1.0           |      371.0      |       0.0        |
| 2020-03-24 |         1930.0         |           3.0           |      488.0      |       2.0        |
| 2020-03-25 |         2369.0         |           5.0           |      439.0      |       2.0        |
| 2020-03-26 |         2693.0         |           8.0           |      324.0      |       3.0        |
| 2020-03-27 |         3035.0         |           12.0          |      342.0      |       4.0        |
| 2020-03-28 |         3824.0         |           12.0          |      789.0      |       0.0        |
| 2020-03-29 |         4247.0         |           15.0          |      423.0      |       3.0        |
| 2020-03-30 |         4782.0         |           16.0          |      535.0      |       1.0        |
| 2020-03-31 |         5523.0         |           20.0          |      741.0      |       4.0        |
| 2020-04-01 |         6186.0         |           25.0          |      663.0      |       5.0        |
| 2020-04-02 |         6901.0         |           34.0          |      715.0      |       9.0        |
| 2020-04-03 |         7428.0         |           39.0          |      527.0      |       5.0        |
| 2020-04-04 |         7989.0         |           43.0          |      561.0      |       4.0        |
| 2020-04-05 |         8618.0         |           49.0          |      629.0      |       6.0        |
| 2020-04-06 |         8904.0         |           57.0          |      286.0      |       8.0        |
| 2020-04-07 |         9248.0         |           65.0          |      344.0      |       8.0        |
| 2020-04-08 |         9404.0         |           71.0          |      156.0      |       6.0        |
+------------+------------------------+-------------------------+-----------------+------------------+
