+----------------------------------------------------------------------------------------------------+
|                          Covid-19 data for italy collected on :2020-04-10                          |
+------------+------------------------+-------------------------+-----------------+------------------+
|    Date    | Daily cumulative cases | Daily cumulative deaths | Daily new cases | Daily new deaths |
+------------+------------------------+-------------------------+-----------------+------------------+
| 2020-02-20 |          3.0           |            0            |        0        |        0         |
| 2020-02-21 |          20.0          |           1.0           |       17.0      |        0         |
| 2020-02-22 |          79.0          |           2.0           |       59.0      |       1.0        |
| 2020-02-23 |         150.0          |           3.0           |       71.0      |       1.0        |
| 2020-02-24 |         227.0          |           6.0           |       77.0      |       3.0        |
| 2020-02-25 |         320.0          |           10.0          |       93.0      |       4.0        |
| 2020-02-26 |         445.0          |           12.0          |      125.0      |       2.0        |
| 2020-02-27 |         650.0          |           17.0          |      205.0      |       5.0        |
| 2020-02-28 |         888.0          |           21.0          |      238.0      |       4.0        |
| 2020-02-29 |         1128.0         |           29.0          |      240.0      |       8.0        |
| 2020-03-01 |         1694.0         |           34.0          |      566.0      |       5.0        |
| 2020-03-02 |         2036.0         |           52.0          |      342.0      |       18.0       |
| 2020-03-03 |         2502.0         |           79.0          |      466.0      |       27.0       |
| 2020-03-04 |         3089.0         |          107.0          |      587.0      |       28.0       |
| 2020-03-05 |         3858.0         |          148.0          |      769.0      |       41.0       |
| 2020-03-06 |         4636.0         |          197.0          |      778.0      |       49.0       |
| 2020-03-07 |         5883.0         |          233.0          |      1247.0     |       36.0       |
| 2020-03-08 |         7375.0         |          366.0          |      1492.0     |      133.0       |
| 2020-03-09 |         9172.0         |          463.0          |      1797.0     |       97.0       |
| 2020-03-10 |        10749.0         |          631.0          |      1577.0     |      168.0       |
| 2020-03-11 |        12462.0         |          827.0          |      1713.0     |      196.0       |
| 2020-03-12 |        15113.0         |          1016.0         |      2651.0     |      189.0       |
| 2020-03-13 |        17660.0         |          1266.0         |      2547.0     |      250.0       |
| 2020-03-14 |        21157.0         |          1441.0         |      3497.0     |      175.0       |
| 2020-03-15 |        24747.0         |          1809.0         |      3590.0     |      368.0       |
| 2020-03-16 |        27980.0         |          2158.0         |      3233.0     |      349.0       |
| 2020-03-17 |        31506.0         |          2503.0         |      3526.0     |      345.0       |
| 2020-03-18 |        35713.0         |          2978.0         |      4207.0     |      475.0       |
| 2020-03-19 |        41035.0         |          3405.0         |      5322.0     |      427.0       |
| 2020-03-20 |        47021.0         |          4032.0         |      5986.0     |      627.0       |
| 2020-03-21 |        53578.0         |          4825.0         |      6557.0     |      793.0       |
| 2020-03-22 |        59138.0         |          5476.0         |      5560.0     |      651.0       |
| 2020-03-23 |        63927.0         |          6077.0         |      4789.0     |      601.0       |
| 2020-03-24 |        69176.0         |          6820.0         |      5249.0     |      743.0       |
| 2020-03-25 |        74386.0         |          7503.0         |      5210.0     |      683.0       |
| 2020-03-26 |        80539.0         |          8165.0         |      6153.0     |      662.0       |
| 2020-03-27 |        86498.0         |          9134.0         |      5959.0     |      969.0       |
| 2020-03-28 |        92472.0         |         10023.0         |      5974.0     |      889.0       |
| 2020-03-29 |        97689.0         |         10779.0         |      5217.0     |      756.0       |
| 2020-03-30 |        101739.0        |         11597.0         |      4050.0     |      818.0       |
| 2020-03-31 |        105792.0        |         12428.0         |      4053.0     |      831.0       |
| 2020-04-01 |        110574.0        |         13155.0         |      4782.0     |      727.0       |
| 2020-04-02 |        115242.0        |         13915.0         |      4668.0     |      760.0       |
| 2020-04-03 |        119827.0        |         14681.0         |      4585.0     |      766.0       |
| 2020-04-04 |        124632.0        |         15362.0         |      4805.0     |      681.0       |
| 2020-04-05 |        128948.0        |         15887.0         |      4316.0     |      525.0       |
| 2020-04-06 |        132547.0        |         16523.0         |      3599.0     |      636.0       |
| 2020-04-07 |        135586.0        |         17127.0         |      3039.0     |      604.0       |
| 2020-04-08 |        139422.0        |         17669.0         |      3836.0     |      542.0       |
+------------+------------------------+-------------------------+-----------------+------------------+
