+----------------------------------------------------------------------------------------------------+
|                        Covid-19 data for lombardy collected on :2020-04-10                         |
+------------+------------------------+-------------------------+-----------------+------------------+
|    Date    | Daily cumulative cases | Daily cumulative deaths | Daily new cases | Daily new deaths |
+------------+------------------------+-------------------------+-----------------+------------------+
| 2020-02-20 |          15.0          |            0            |        0        |        0         |
| 2020-02-21 |          55.0          |            0            |       40.0      |        0         |
| 2020-02-22 |         112.0          |            0            |       57.0      |        0         |
| 2020-02-23 |         173.0          |            0            |       61.0      |        0         |
| 2020-02-24 |         240.0          |            0            |       67.0      |        0         |
| 2020-02-25 |         305.0          |            0            |       65.0      |        0         |
| 2020-02-26 |         403.0          |            0            |       98.0      |        0         |
| 2020-02-27 |         531.0          |            0            |      128.0      |        0         |
| 2020-02-28 |         615.0          |            0            |       84.0      |        0         |
| 2020-02-29 |         984.0          |            0            |      369.0      |        0         |
| 2020-03-01 |         1254.0         |            0            |      270.0      |        0         |
| 2020-03-02 |         1520.0         |            0            |      266.0      |        0         |
| 2020-03-03 |         1820.0         |            0            |      300.0      |        0         |
| 2020-03-04 |         2251.0         |            0            |      431.0      |        0         |
| 2020-03-05 |         2612.0         |            0            |      361.0      |        0         |
| 2020-03-06 |         3420.0         |            0            |      808.0      |        0         |
| 2020-03-07 |         4189.0         |            0            |      769.0      |        0         |
| 2020-03-08 |         5469.0         |            0            |      1280.0     |        0         |
| 2020-03-09 |         5791.0         |            0            |      322.0      |        0         |
| 2020-03-10 |         6391.0         |            0            |      600.0      |        0         |
| 2020-03-11 |         7280.0         |            0            |      889.0      |        0         |
| 2020-03-12 |         8725.0         |            0            |      1445.0     |        0         |
| 2020-03-13 |         9820.0         |            0            |      1095.0     |        0         |
| 2020-03-14 |        11685.0         |            0            |      1865.0     |        0         |
| 2020-03-15 |        13272.0         |            0            |      1587.0     |        0         |
| 2020-03-16 |        14649.0         |            0            |      1377.0     |        0         |
| 2020-03-17 |        16220.0         |            0            |      1571.0     |        0         |
| 2020-03-18 |        17713.0         |            0            |      1493.0     |        0         |
| 2020-03-19 |        19884.0         |            0            |      2171.0     |        0         |
| 2020-03-20 |        22264.0         |            0            |      2380.0     |        0         |
| 2020-03-21 |        25515.0         |            0            |      3251.0     |        0         |
| 2020-03-22 |        27206.0         |            0            |      1691.0     |        0         |
| 2020-03-23 |        28761.0         |            0            |      1555.0     |        0         |
| 2020-03-24 |        30703.0         |            0            |      1942.0     |        0         |
| 2020-03-25 |        32346.0         |            0            |      1643.0     |        0         |
| 2020-03-26 |        34889.0         |            0            |      2543.0     |        0         |
| 2020-03-27 |        37298.0         |            0            |      2409.0     |        0         |
| 2020-03-28 |        39415.0         |            0            |      2117.0     |        0         |
| 2020-03-29 |        41007.0         |            0            |      1592.0     |        0         |
| 2020-03-30 |        42161.0         |            0            |      1154.0     |        0         |
| 2020-03-31 |        43208.0         |            0            |      1047.0     |        0         |
| 2020-04-01 |        44773.0         |            0            |      1565.0     |        0         |
| 2020-04-02 |        46065.0         |            0            |      1292.0     |        0         |
| 2020-04-03 |        47520.0         |            0            |      1455.0     |        0         |
| 2020-04-04 |        49118.0         |            0            |      1598.0     |        0         |
| 2020-04-05 |        50455.0         |            0            |      1337.0     |        0         |
| 2020-04-06 |        51534.0         |            0            |      1079.0     |        0         |
| 2020-04-07 |        52325.0         |            0            |      791.0      |        0         |
+------------+------------------------+-------------------------+-----------------+------------------+
