+----------------------------------------------------------------------------------------------------+
|                       Covid-19 data for luxembourg collected on :2020-04-10                        |
+------------+------------------------+-------------------------+-----------------+------------------+
|    Date    | Daily cumulative cases | Daily cumulative deaths | Daily new cases | Daily new deaths |
+------------+------------------------+-------------------------+-----------------+------------------+
| 2020-03-05 |          2.0           |            0            |        0        |        0         |
| 2020-03-06 |          3.0           |            0            |       1.0       |        0         |
| 2020-03-07 |          4.0           |            0            |       1.0       |        0         |
| 2020-03-08 |          5.0           |            0            |       1.0       |        0         |
| 2020-03-09 |          5.0           |            0            |       0.0       |        0         |
| 2020-03-10 |          7.0           |            0            |       2.0       |        0         |
| 2020-03-11 |          7.0           |            0            |       0.0       |        0         |
| 2020-03-12 |          26.0          |            0            |       19.0      |        0         |
| 2020-03-13 |          34.0          |           1.0           |       8.0       |        0         |
| 2020-03-14 |          51.0          |           1.0           |       17.0      |       0.0        |
| 2020-03-15 |          77.0          |           1.0           |       26.0      |       0.0        |
| 2020-03-16 |          81.0          |           1.0           |       4.0       |       0.0        |
| 2020-03-17 |         140.0          |           1.0           |       59.0      |       0.0        |
| 2020-03-18 |         203.0          |           2.0           |       63.0      |       1.0        |
| 2020-03-19 |         335.0          |           4.0           |      132.0      |       2.0        |
| 2020-03-20 |         484.0          |           4.0           |      149.0      |       0.0        |
| 2020-03-21 |         670.0          |           8.0           |      186.0      |       4.0        |
| 2020-03-22 |         798.0          |           8.0           |      128.0      |       0.0        |
| 2020-03-23 |         875.0          |           8.0           |       77.0      |       0.0        |
| 2020-03-24 |         1099.0         |           8.0           |      224.0      |       0.0        |
| 2020-03-25 |         1333.0         |           8.0           |      234.0      |       0.0        |
| 2020-03-26 |         1453.0         |           9.0           |      120.0      |       1.0        |
| 2020-03-27 |         1605.0         |           15.0          |      152.0      |       6.0        |
| 2020-03-28 |         1831.0         |           18.0          |      226.0      |       3.0        |
| 2020-03-29 |         1950.0         |           21.0          |      119.0      |       3.0        |
| 2020-03-30 |         1988.0         |           22.0          |       38.0      |       1.0        |
| 2020-03-31 |         2178.0         |           23.0          |      190.0      |       1.0        |
| 2020-04-01 |         2319.0         |           29.0          |      141.0      |       6.0        |
| 2020-04-02 |         2478.0         |           30.0          |      159.0      |       1.0        |
| 2020-04-03 |         2612.0         |           31.0          |      134.0      |       1.0        |
| 2020-04-04 |         2729.0         |           31.0          |      117.0      |       0.0        |
| 2020-04-05 |         2804.0         |           31.0          |       75.0      |       0.0        |
| 2020-04-06 |         2843.0         |           41.0          |       39.0      |       10.0       |
| 2020-04-07 |         2970.0         |           44.0          |      127.0      |       3.0        |
+------------+------------------------+-------------------------+-----------------+------------------+
