+----------------------------------------------------------------------------------------------------+
|                         Covid-19 data for poland collected on :2020-04-10                          |
+------------+------------------------+-------------------------+-----------------+------------------+
|    Date    | Daily cumulative cases | Daily cumulative deaths | Daily new cases | Daily new deaths |
+------------+------------------------+-------------------------+-----------------+------------------+
| 2020-03-04 |          1.0           |            0            |        0        |        0         |
| 2020-03-05 |          1.0           |            0            |       0.0       |        0         |
| 2020-03-06 |          5.0           |            0            |       4.0       |        0         |
| 2020-03-07 |          6.0           |            0            |       1.0       |        0         |
| 2020-03-08 |          11.0          |            0            |       5.0       |        0         |
| 2020-03-09 |          17.0          |            0            |       6.0       |        0         |
| 2020-03-10 |          22.0          |            0            |       5.0       |        0         |
| 2020-03-11 |          31.0          |            0            |       9.0       |        0         |
| 2020-03-12 |          51.0          |           1.0           |       20.0      |        0         |
| 2020-03-13 |          68.0          |           2.0           |       17.0      |       1.0        |
| 2020-03-14 |         104.0          |           3.0           |       36.0      |       1.0        |
| 2020-03-15 |         125.0          |           3.0           |       21.0      |       0.0        |
| 2020-03-16 |         177.0          |           4.0           |       52.0      |       1.0        |
| 2020-03-17 |         238.0          |           5.0           |       61.0      |       1.0        |
| 2020-03-18 |         287.0          |           5.0           |       49.0      |       0.0        |
| 2020-03-19 |         355.0          |           5.0           |       68.0      |       0.0        |
| 2020-03-20 |         425.0          |           5.0           |       70.0      |       0.0        |
| 2020-03-21 |         536.0          |           5.0           |      111.0      |       0.0        |
| 2020-03-22 |         634.0          |           7.0           |       98.0      |       2.0        |
| 2020-03-23 |         749.0          |           8.0           |      115.0      |       1.0        |
| 2020-03-24 |         884.0          |           10.0          |      135.0      |       2.0        |
| 2020-03-25 |         1051.0         |           14.0          |      167.0      |       4.0        |
| 2020-03-26 |         1221.0         |           16.0          |      170.0      |       2.0        |
| 2020-03-27 |         1389.0         |           16.0          |      168.0      |       0.0        |
| 2020-03-28 |         1638.0         |           21.0          |      249.0      |       5.0        |
| 2020-03-29 |         1862.0         |           22.0          |      224.0      |       1.0        |
| 2020-03-30 |         2055.0         |           31.0          |      193.0      |       9.0        |
| 2020-03-31 |         2311.0         |           33.0          |      256.0      |       2.0        |
| 2020-04-01 |         2554.0         |           43.0          |      243.0      |       10.0       |
| 2020-04-02 |         2946.0         |           57.0          |      392.0      |       14.0       |
| 2020-04-03 |         3383.0         |           71.0          |      437.0      |       14.0       |
| 2020-04-04 |         3627.0         |           79.0          |      244.0      |       8.0        |
| 2020-04-05 |         4102.0         |           94.0          |      475.0      |       15.0       |
| 2020-04-06 |         4413.0         |          107.0          |      311.0      |       13.0       |
| 2020-04-07 |         4848.0         |          129.0          |      435.0      |       22.0       |
| 2020-04-08 |         5000.0         |          136.0          |      152.0      |       7.0        |
+------------+------------------------+-------------------------+-----------------+------------------+
