+----------------------------------------------------------------------------------------------------+
|                        Covid-19 data for portugal collected on :2020-04-10                         |
+------------+------------------------+-------------------------+-----------------+------------------+
|    Date    | Daily cumulative cases | Daily cumulative deaths | Daily new cases | Daily new deaths |
+------------+------------------------+-------------------------+-----------------+------------------+
| 2020-03-02 |          2.0           |            0            |        0        |        0         |
| 2020-03-03 |          4.0           |            0            |       2.0       |        0         |
| 2020-03-04 |          6.0           |            0            |       2.0       |        0         |
| 2020-03-05 |          9.0           |            0            |       3.0       |        0         |
| 2020-03-06 |          13.0          |            0            |       4.0       |        0         |
| 2020-03-07 |          21.0          |            0            |       8.0       |        0         |
| 2020-03-08 |          30.0          |            0            |       9.0       |        0         |
| 2020-03-09 |          39.0          |            0            |       9.0       |        0         |
| 2020-03-10 |          41.0          |            0            |       2.0       |        0         |
| 2020-03-11 |          59.0          |            0            |       18.0      |        0         |
| 2020-03-12 |          78.0          |            0            |       19.0      |        0         |
| 2020-03-13 |         112.0          |            0            |       34.0      |        0         |
| 2020-03-14 |         169.0          |            0            |       57.0      |        0         |
| 2020-03-15 |         256.0          |            0            |       87.0      |        0         |
| 2020-03-16 |         331.0          |           1.0           |       75.0      |        0         |
| 2020-03-17 |         448.0          |           1.0           |      117.0      |       0.0        |
| 2020-03-18 |         642.0          |           2.0           |      194.0      |       1.0        |
| 2020-03-19 |         785.0          |           3.0           |      143.0      |       1.0        |
| 2020-03-20 |         1020.0         |           6.0           |      235.0      |       3.0        |
| 2020-03-21 |         1280.0         |           12.0          |      260.0      |       6.0        |
| 2020-03-22 |         1600.0         |           14.0          |      320.0      |       2.0        |
| 2020-03-23 |         2060.0         |           23.0          |      460.0      |       9.0        |
| 2020-03-24 |         2362.0         |           33.0          |      302.0      |       10.0       |
| 2020-03-25 |         2995.0         |           43.0          |      633.0      |       10.0       |
| 2020-03-26 |         3544.0         |           60.0          |      549.0      |       17.0       |
| 2020-03-27 |         4268.0         |           76.0          |      724.0      |       16.0       |
| 2020-03-28 |         5170.0         |          100.0          |      902.0      |       24.0       |
| 2020-03-29 |         5962.0         |          119.0          |      792.0      |       19.0       |
| 2020-03-30 |         6408.0         |          140.0          |      446.0      |       21.0       |
| 2020-03-31 |         7443.0         |          160.0          |      1035.0     |       20.0       |
| 2020-04-01 |         8251.0         |          187.0          |      808.0      |       27.0       |
| 2020-04-02 |         9034.0         |          209.0          |      783.0      |       22.0       |
| 2020-04-03 |         9886.0         |          246.0          |      852.0      |       37.0       |
| 2020-04-04 |        10524.0         |          266.0          |      638.0      |       20.0       |
| 2020-04-05 |        11278.0         |          295.0          |      754.0      |       29.0       |
| 2020-04-06 |        11730.0         |          311.0          |      452.0      |       16.0       |
| 2020-04-07 |        12442.0         |          345.0          |      712.0      |       34.0       |
| 2020-04-08 |        13141.0         |          380.0          |      699.0      |       35.0       |
+------------+------------------------+-------------------------+-----------------+------------------+
