+----------------------------------------------------------------------------------------------------+
|                          Covid-19 data for qatar collected on :2020-04-10                          |
+------------+------------------------+-------------------------+-----------------+------------------+
|    Date    | Daily cumulative cases | Daily cumulative deaths | Daily new cases | Daily new deaths |
+------------+------------------------+-------------------------+-----------------+------------------+
| 2020-03-01 |          1.0           |            0            |        0        |        0         |
| 2020-03-02 |          3.0           |            0            |       2.0       |        0         |
| 2020-03-04 |          7.0           |            0            |       4.0       |        0         |
| 2020-03-05 |          8.0           |            0            |       1.0       |        0         |
| 2020-03-06 |          8.0           |            0            |       0.0       |        0         |
| 2020-03-07 |          8.0           |            0            |       0.0       |        0         |
| 2020-03-08 |          8.0           |            0            |       0.0       |        0         |
| 2020-03-09 |          15.0          |            0            |       7.0       |        0         |
| 2020-03-10 |          18.0          |            0            |       3.0       |        0         |
| 2020-03-11 |          24.0          |            0            |       6.0       |        0         |
| 2020-03-12 |         262.0          |            0            |      238.0      |        0         |
| 2020-03-13 |         320.0          |            0            |       58.0      |        0         |
| 2020-03-14 |         337.0          |            0            |       17.0      |        0         |
| 2020-03-15 |         401.0          |            0            |       64.0      |        0         |
| 2020-03-16 |         439.0          |            0            |       38.0      |        0         |
| 2020-03-17 |         442.0          |            0            |       3.0       |        0         |
| 2020-03-18 |         452.0          |            0            |       10.0      |        0         |
| 2020-03-19 |         460.0          |            0            |       8.0       |        0         |
| 2020-03-20 |         470.0          |            0            |       10.0      |        0         |
| 2020-03-21 |         481.0          |            0            |       11.0      |        0         |
| 2020-03-22 |         494.0          |            0            |       13.0      |        0         |
| 2020-03-23 |         501.0          |            0            |       7.0       |        0         |
| 2020-03-24 |         526.0          |            0            |       25.0      |        0         |
| 2020-03-25 |         537.0          |            0            |       11.0      |        0         |
| 2020-03-26 |         549.0          |            0            |       12.0      |        0         |
| 2020-03-27 |         562.0          |            0            |       13.0      |        0         |
| 2020-03-28 |         590.0          |            0            |       28.0      |        0         |
| 2020-03-29 |         634.0          |           1.0           |       44.0      |        0         |
| 2020-03-30 |         693.0          |           1.0           |       59.0      |       0.0        |
| 2020-03-31 |         781.0          |           2.0           |       88.0      |       1.0        |
| 2020-04-01 |         835.0          |           2.0           |       54.0      |       0.0        |
| 2020-04-02 |         949.0          |           3.0           |      114.0      |       1.0        |
| 2020-04-03 |         1075.0         |           3.0           |      126.0      |       0.0        |
| 2020-04-04 |         1325.0         |           3.0           |      250.0      |       0.0        |
| 2020-04-05 |         1604.0         |           4.0           |      279.0      |       1.0        |
| 2020-04-06 |         1832.0         |           4.0           |      228.0      |       0.0        |
| 2020-04-07 |         2057.0         |           6.0           |      225.0      |       2.0        |
| 2020-04-08 |         2210.0         |           6.0           |      153.0      |       0.0        |
+------------+------------------------+-------------------------+-----------------+------------------+
