+----------------------------------------------------------------------------------------------------+
|                         Covid-19 data for romania collected on :2020-04-10                         |
+------------+------------------------+-------------------------+-----------------+------------------+
|    Date    | Daily cumulative cases | Daily cumulative deaths | Daily new cases | Daily new deaths |
+------------+------------------------+-------------------------+-----------------+------------------+
| 2020-03-03 |          4.0           |            0            |        0        |        0         |
| 2020-03-04 |          6.0           |            0            |       2.0       |        0         |
| 2020-03-05 |          6.0           |            0            |       0.0       |        0         |
| 2020-03-06 |          9.0           |            0            |       3.0       |        0         |
| 2020-03-07 |          13.0          |            0            |       4.0       |        0         |
| 2020-03-08 |          15.0          |            0            |       2.0       |        0         |
| 2020-03-09 |          17.0          |            0            |       2.0       |        0         |
| 2020-03-10 |          29.0          |            0            |       12.0      |        0         |
| 2020-03-11 |          47.0          |            0            |       18.0      |        0         |
| 2020-03-12 |          59.0          |            0            |       12.0      |        0         |
| 2020-03-13 |          95.0          |            0            |       36.0      |        0         |
| 2020-03-14 |         123.0          |            0            |       28.0      |        0         |
| 2020-03-15 |         139.0          |            0            |       16.0      |        0         |
| 2020-03-16 |         168.0          |            0            |       29.0      |        0         |
| 2020-03-17 |         217.0          |            0            |       49.0      |        0         |
| 2020-03-18 |         260.0          |            0            |       43.0      |        0         |
| 2020-03-19 |         277.0          |            0            |       17.0      |        0         |
| 2020-03-20 |         308.0          |            0            |       31.0      |        0         |
| 2020-03-21 |         367.0          |            0            |       59.0      |        0         |
| 2020-03-22 |         433.0          |           4.0           |       66.0      |        0         |
| 2020-03-23 |         576.0          |           10.0          |      143.0      |       6.0        |
| 2020-03-24 |         762.0          |           12.0          |      186.0      |       2.0        |
| 2020-03-25 |         906.0          |           17.0          |      144.0      |       5.0        |
| 2020-03-26 |         1029.0         |           23.0          |      123.0      |       6.0        |
| 2020-03-27 |         1292.0         |           24.0          |      263.0      |       1.0        |
| 2020-03-28 |         1452.0         |           29.0          |      160.0      |       5.0        |
| 2020-03-29 |         1760.0         |           43.0          |      308.0      |       14.0       |
| 2020-03-30 |         1952.0         |           46.0          |      192.0      |       3.0        |
| 2020-03-31 |         2245.0         |           69.0          |      293.0      |       23.0       |
| 2020-04-01 |         2460.0         |           85.0          |      215.0      |       16.0       |
| 2020-04-02 |         2738.0         |           94.0          |      278.0      |       9.0        |
| 2020-04-03 |         3183.0         |          116.0          |      445.0      |       22.0       |
| 2020-04-04 |         3613.0         |          141.0          |      430.0      |       25.0       |
| 2020-04-05 |         3864.0         |          148.0          |      251.0      |       7.0        |
| 2020-04-06 |         4057.0         |          157.0          |      193.0      |       9.0        |
| 2020-04-07 |         4417.0         |          182.0          |      360.0      |       25.0       |
| 2020-04-08 |         4761.0         |          209.0          |      344.0      |       27.0       |
+------------+------------------------+-------------------------+-----------------+------------------+
