+----------------------------------------------------------------------------------------------------+
|                        Covid-19 data for slovenia collected on :2020-04-10                         |
+------------+------------------------+-------------------------+-----------------+------------------+
|    Date    | Daily cumulative cases | Daily cumulative deaths | Daily new cases | Daily new deaths |
+------------+------------------------+-------------------------+-----------------+------------------+
| 2020-03-04 |          1.0           |            0            |        0        |        0         |
| 2020-03-05 |          6.0           |            0            |       5.0       |        0         |
| 2020-03-06 |          8.0           |            0            |       2.0       |        0         |
| 2020-03-07 |          12.0          |            0            |       4.0       |        0         |
| 2020-03-08 |          16.0          |            0            |       4.0       |        0         |
| 2020-03-09 |          25.0          |            0            |       9.0       |        0         |
| 2020-03-10 |          34.0          |            0            |       9.0       |        0         |
| 2020-03-11 |          57.0          |            0            |       23.0      |        0         |
| 2020-03-12 |          96.0          |            0            |       39.0      |        0         |
| 2020-03-13 |         141.0          |            0            |       45.0      |        0         |
| 2020-03-14 |         181.0          |           1.0           |       40.0      |        0         |
| 2020-03-15 |         219.0          |           1.0           |       38.0      |       0.0        |
| 2020-03-16 |         253.0          |           1.0           |       34.0      |       0.0        |
| 2020-03-17 |         275.0          |           1.0           |       22.0      |       0.0        |
| 2020-03-18 |         286.0          |           1.0           |       11.0      |       0.0        |
| 2020-03-19 |         319.0          |           1.0           |       33.0      |       0.0        |
| 2020-03-20 |         341.0          |           1.0           |       22.0      |       0.0        |
| 2020-03-21 |         383.0          |           1.0           |       42.0      |       0.0        |
| 2020-03-22 |         414.0          |           2.0           |       31.0      |       1.0        |
| 2020-03-23 |         442.0          |           3.0           |       28.0      |       1.0        |
| 2020-03-24 |         480.0          |           4.0           |       38.0      |       1.0        |
| 2020-03-25 |         526.0          |           5.0           |       46.0      |       1.0        |
| 2020-03-26 |         562.0          |           6.0           |       36.0      |       1.0        |
| 2020-03-27 |         632.0          |           9.0           |       70.0      |       3.0        |
| 2020-03-28 |         684.0          |           9.0           |       52.0      |       0.0        |
| 2020-03-29 |         730.0          |           11.0          |       46.0      |       2.0        |
| 2020-03-30 |         756.0          |           11.0          |       26.0      |       0.0        |
| 2020-03-31 |         802.0          |           15.0          |       46.0      |       4.0        |
| 2020-04-01 |         841.0          |           17.0          |       39.0      |       2.0        |
| 2020-04-02 |         897.0          |           18.0          |       56.0      |       1.0        |
| 2020-04-03 |         934.0          |           20.0          |       37.0      |       2.0        |
| 2020-04-04 |         977.0          |           22.0          |       43.0      |       2.0        |
| 2020-04-05 |         997.0          |           28.0          |       20.0      |       6.0        |
| 2020-04-06 |         1021.0         |           30.0          |       24.0      |       2.0        |
| 2020-04-07 |         1055.0         |           36.0          |       34.0      |       6.0        |
| 2020-04-08 |         1091.0         |           40.0          |       36.0      |       4.0        |
+------------+------------------------+-------------------------+-----------------+------------------+
