+----------------------------------------------------------------------------------------------------+
|                          Covid-19 data for spain collected on :2020-04-10                          |
+------------+------------------------+-------------------------+-----------------+------------------+
|    Date    | Daily cumulative cases | Daily cumulative deaths | Daily new cases | Daily new deaths |
+------------+------------------------+-------------------------+-----------------+------------------+
| 2020-02-15 |          8.0           |           1.0           |        0        |        0         |
| 2020-02-26 |          14.0          |           1.0           |       6.0       |       0.0        |
| 2020-02-27 |          26.0          |           1.0           |       12.0      |       0.0        |
| 2020-02-28 |          45.0          |           1.0           |       19.0      |       0.0        |
| 2020-02-29 |          59.0          |           1.0           |       14.0      |       0.0        |
| 2020-03-01 |          84.0          |           1.0           |       25.0      |       0.0        |
| 2020-03-02 |         125.0          |           1.0           |       41.0      |       0.0        |
| 2020-03-03 |         169.0          |           2.0           |       44.0      |       1.0        |
| 2020-03-04 |         228.0          |           2.0           |       59.0      |       0.0        |
| 2020-03-05 |         282.0          |           3.0           |       54.0      |       1.0        |
| 2020-03-06 |         365.0          |           8.0           |       83.0      |       5.0        |
| 2020-03-07 |         430.0          |           10.0          |       65.0      |       2.0        |
| 2020-03-08 |         674.0          |           17.0          |      244.0      |       7.0        |
| 2020-03-09 |         1231.0         |           30.0          |      557.0      |       13.0       |
| 2020-03-10 |         1695.0         |           36.0          |      464.0      |       6.0        |
| 2020-03-11 |         2277.0         |           55.0          |      582.0      |       19.0       |
| 2020-03-12 |         3146.0         |           86.0          |      869.0      |       31.0       |
| 2020-03-13 |         5232.0         |          133.0          |      2086.0     |       47.0       |
| 2020-03-14 |         6391.0         |          196.0          |      1159.0     |       63.0       |
| 2020-03-15 |         7844.0         |          294.0          |      1453.0     |       98.0       |
| 2020-03-16 |         9942.0         |          342.0          |      2098.0     |       48.0       |
| 2020-03-17 |        11826.0         |          533.0          |      1884.0     |      191.0       |
| 2020-03-18 |        14729.0         |          638.0          |      2903.0     |      105.0       |
| 2020-03-19 |        18077.0         |          833.0          |      3348.0     |      195.0       |
| 2020-03-20 |        21571.0         |          1093.0         |      3494.0     |      260.0       |
| 2020-03-21 |        25496.0         |          1381.0         |      3925.0     |      288.0       |
| 2020-03-22 |        29909.0         |          1813.0         |      4413.0     |      432.0       |
| 2020-03-23 |        35480.0         |          2342.0         |      5571.0     |      529.0       |
| 2020-03-24 |        42058.0         |          2994.0         |      6578.0     |      652.0       |
| 2020-03-25 |        50105.0         |          3650.0         |      8047.0     |      656.0       |
| 2020-03-26 |        56347.0         |          4154.0         |      6242.0     |      504.0       |
| 2020-03-27 |        65719.0         |          5138.0         |      9372.0     |      984.0       |
| 2020-03-28 |        73232.0         |          5982.0         |      7513.0     |      844.0       |
| 2020-03-29 |        80110.0         |          6803.0         |      6878.0     |      821.0       |
| 2020-03-30 |        85199.0         |          7424.0         |      5089.0     |      621.0       |
| 2020-03-31 |        95923.0         |          8464.0         |     10724.0     |      1040.0      |
| 2020-04-01 |        104118.0        |          9387.0         |      8195.0     |      923.0       |
| 2020-04-02 |        112065.0        |         10348.0         |      7947.0     |      961.0       |
| 2020-04-03 |        119199.0        |         11198.0         |      7134.0     |      850.0       |
| 2020-04-04 |        126168.0        |         11947.0         |      6969.0     |      749.0       |
| 2020-04-05 |        131646.0        |         12641.0         |      5478.0     |      694.0       |
| 2020-04-06 |        136675.0        |         13341.0         |      5029.0     |      700.0       |
| 2020-04-07 |        141942.0        |         14045.0         |      5267.0     |      704.0       |
| 2020-04-08 |        146690.0        |         14555.0         |      4748.0     |      510.0       |
+------------+------------------------+-------------------------+-----------------+------------------+
