+----------------------------------------------------------------------------------------------------+
|                         Covid-19 data for sweden collected on :2020-04-10                          |
+------------+------------------------+-------------------------+-----------------+------------------+
|    Date    | Daily cumulative cases | Daily cumulative deaths | Daily new cases | Daily new deaths |
+------------+------------------------+-------------------------+-----------------+------------------+
| 2020-02-26 |          2.0           |            0            |        0        |        0         |
| 2020-02-27 |          7.0           |            0            |       5.0       |        0         |
| 2020-02-28 |          11.0          |            0            |       4.0       |        0         |
| 2020-02-29 |          13.0          |            0            |       2.0       |        0         |
| 2020-03-01 |          14.0          |            0            |       1.0       |        0         |
| 2020-03-02 |          15.0          |            0            |       1.0       |        0         |
| 2020-03-03 |          30.0          |            0            |       15.0      |        0         |
| 2020-03-04 |          52.0          |            0            |       22.0      |        0         |
| 2020-03-05 |          94.0          |            0            |       42.0      |        0         |
| 2020-03-06 |         137.0          |            0            |       43.0      |        0         |
| 2020-03-07 |         161.0          |            0            |       24.0      |        0         |
| 2020-03-08 |         203.0          |            0            |       42.0      |        0         |
| 2020-03-09 |         260.0          |            0            |       57.0      |        0         |
| 2020-03-10 |         356.0          |            0            |       96.0      |        0         |
| 2020-03-11 |         500.0          |           1.0           |      144.0      |        0         |
| 2020-03-12 |         687.0          |           1.0           |      187.0      |       0.0        |
| 2020-03-13 |         814.0          |           1.0           |      127.0      |       0.0        |
| 2020-03-14 |         941.0          |           2.0           |      127.0      |       1.0        |
| 2020-03-15 |         1032.0         |           3.0           |       91.0      |       1.0        |
| 2020-03-16 |         1121.0         |           7.0           |       89.0      |       4.0        |
| 2020-03-17 |         1190.0         |           8.0           |       69.0      |       1.0        |
| 2020-03-18 |         1292.0         |           10.0          |      102.0      |       2.0        |
| 2020-03-19 |         1439.0         |           11.0          |      147.0      |       1.0        |
| 2020-03-20 |         1650.0         |           16.0          |      211.0      |       5.0        |
| 2020-03-21 |         1770.0         |           20.0          |      120.0      |       4.0        |
| 2020-03-22 |         1931.0         |           23.0          |      161.0      |       3.0        |
| 2020-03-23 |         2059.0         |           33.0          |      128.0      |       10.0       |
| 2020-03-24 |         2272.0         |           36.0          |      213.0      |       3.0        |
| 2020-03-25 |         2526.0         |           66.0          |      254.0      |       30.0       |
| 2020-03-26 |         2840.0         |           77.0          |      314.0      |       11.0       |
| 2020-03-27 |         3046.0         |           92.0          |      206.0      |       15.0       |
| 2020-03-28 |         3447.0         |          105.0          |      401.0      |       13.0       |
| 2020-03-29 |         3700.0         |          110.0          |      253.0      |       5.0        |
| 2020-03-30 |         4028.0         |          146.0          |      328.0      |       36.0       |
| 2020-03-31 |         4435.0         |          180.0          |      407.0      |       34.0       |
| 2020-04-01 |         4947.0         |          239.0          |      512.0      |       59.0       |
| 2020-04-02 |         5466.0         |          282.0          |      519.0      |       43.0       |
| 2020-04-03 |         6131.0         |          358.0          |      665.0      |       76.0       |
| 2020-04-04 |         6443.0         |          373.0          |      312.0      |       15.0       |
| 2020-04-05 |         6830.0         |          401.0          |      387.0      |       28.0       |
| 2020-04-06 |         7206.0         |          477.0          |      376.0      |       76.0       |
| 2020-04-07 |         7693.0         |          591.0          |      487.0      |      114.0       |
| 2020-04-08 |         8419.0         |          687.0          |      726.0      |       96.0       |
+------------+------------------------+-------------------------+-----------------+------------------+
