+----------------------------------------------------------------------------------------------------+
|                           Covid-19 data for uk collected on :2020-04-10                            |
+------------+------------------------+-------------------------+-----------------+------------------+
|    Date    | Daily cumulative cases | Daily cumulative deaths | Daily new cases | Daily new deaths |
+------------+------------------------+-------------------------+-----------------+------------------+
| 2020-02-27 |          15.0          |            0            |        0        |        0         |
| 2020-02-28 |          20.0          |            0            |       5.0       |        0         |
| 2020-02-29 |          23.0          |            0            |       3.0       |        0         |
| 2020-03-01 |          35.0          |            0            |       12.0      |        0         |
| 2020-03-02 |          40.0          |            0            |       5.0       |        0         |
| 2020-03-03 |          51.0          |            0            |       11.0      |        0         |
| 2020-03-04 |          85.0          |            0            |       34.0      |        0         |
| 2020-03-05 |         115.0          |           1.0           |       30.0      |        0         |
| 2020-03-06 |         163.0          |           2.0           |       48.0      |       1.0        |
| 2020-03-07 |         209.0          |           2.0           |       46.0      |       0.0        |
| 2020-03-08 |         273.0          |           3.0           |       64.0      |       1.0        |
| 2020-03-09 |         319.0          |           5.0           |       46.0      |       2.0        |
| 2020-03-10 |         373.0          |           6.0           |       54.0      |       1.0        |
| 2020-03-11 |         456.0          |           8.0           |       83.0      |       2.0        |
| 2020-03-12 |         596.0          |           8.0           |      140.0      |       0.0        |
| 2020-03-13 |         798.0          |           10.0          |      202.0      |       2.0        |
| 2020-03-14 |         1140.0         |           21.0          |      342.0      |       11.0       |
| 2020-03-15 |         1372.0         |           35.0          |      232.0      |       14.0       |
| 2020-03-16 |         1543.0         |           55.0          |      171.0      |       20.0       |
| 2020-03-17 |         1950.0         |           71.0          |      407.0      |       16.0       |
| 2020-03-18 |         2626.0         |          103.0          |      676.0      |       32.0       |
| 2020-03-19 |         3269.0         |          144.0          |      643.0      |       41.0       |
| 2020-03-20 |         3983.0         |          177.0          |      714.0      |       33.0       |
| 2020-03-21 |         5018.0         |          233.0          |      1035.0     |       56.0       |
| 2020-03-22 |         5683.0         |          281.0          |      665.0      |       48.0       |
| 2020-03-23 |         6650.0         |          335.0          |      967.0      |       54.0       |
| 2020-03-24 |         8077.0         |          422.0          |      1427.0     |       87.0       |
| 2020-03-25 |         9529.0         |          463.0          |      1452.0     |       41.0       |
| 2020-03-26 |        11658.0         |          578.0          |      2129.0     |      115.0       |
| 2020-03-27 |        14543.0         |          759.0          |      2885.0     |      181.0       |
| 2020-03-28 |        17089.0         |          1019.0         |      2546.0     |      260.0       |
| 2020-03-29 |        19522.0         |          1228.0         |      2433.0     |      209.0       |
| 2020-03-30 |        22141.0         |          1408.0         |      2619.0     |      180.0       |
| 2020-03-31 |        25150.0         |          1789.0         |      3009.0     |      381.0       |
| 2020-04-01 |        29474.0         |          2352.0         |      4324.0     |      563.0       |
| 2020-04-02 |        33718.0         |          2921.0         |      4244.0     |      569.0       |
| 2020-04-03 |        38168.0         |          3605.0         |      4450.0     |      684.0       |
| 2020-04-04 |        41903.0         |          4313.0         |      3735.0     |      708.0       |
| 2020-04-05 |        47806.0         |          4934.0         |      5903.0     |      621.0       |
| 2020-04-06 |        51608.0         |          5373.0         |      3802.0     |      439.0       |
| 2020-04-07 |        55242.0         |          6159.0         |      3634.0     |      786.0       |
| 2020-04-08 |        60773.0         |          7097.0         |      5531.0     |      938.0       |
+------------+------------------------+-------------------------+-----------------+------------------+
