+----------------------------------------------------------------------------------------------------+
|                           Covid-19 data for us collected on :2020-04-10                            |
+------------+------------------------+-------------------------+-----------------+------------------+
|    Date    | Daily cumulative cases | Daily cumulative deaths | Daily new cases | Daily new deaths |
+------------+------------------------+-------------------------+-----------------+------------------+
| 2020-02-26 |          15.0          |            0            |        0        |        0         |
| 2020-02-27 |          15.0          |            0            |       0.0       |        0         |
| 2020-02-28 |          19.0          |            0            |       4.0       |        0         |
| 2020-02-29 |          24.0          |           1.0           |       5.0       |        0         |
| 2020-03-01 |          42.0          |           2.0           |       18.0      |       1.0        |
| 2020-03-02 |          57.0          |           6.0           |       15.0      |       4.0        |
| 2020-03-03 |          85.0          |           9.0           |       28.0      |       3.0        |
| 2020-03-04 |         111.0          |           12.0          |       26.0      |       3.0        |
| 2020-03-05 |         175.0          |           12.0          |       64.0      |       0.0        |
| 2020-03-06 |         252.0          |           18.0          |       77.0      |       6.0        |
| 2020-03-07 |         352.0          |           19.0          |      100.0      |       1.0        |
| 2020-03-08 |         495.0          |           22.0          |      143.0      |       3.0        |
| 2020-03-09 |         643.0          |           26.0          |      148.0      |       4.0        |
| 2020-03-10 |         932.0          |           31.0          |      289.0      |       5.0        |
| 2020-03-11 |         1203.0         |           38.0          |      271.0      |       7.0        |
| 2020-03-12 |         1598.0         |           42.0          |      395.0      |       4.0        |
| 2020-03-13 |         2160.0         |           49.0          |      562.0      |       7.0        |
| 2020-03-14 |         2820.0         |           56.0          |      660.0      |       7.0        |
| 2020-03-15 |         3494.0         |           62.0          |      674.0      |       6.0        |
| 2020-03-16 |         4372.0         |           75.0          |      878.0      |       13.0       |
| 2020-03-17 |         5656.0         |           96.0          |      1284.0     |       21.0       |
| 2020-03-18 |         8074.0         |          122.0          |      2418.0     |       26.0       |
| 2020-03-19 |        12018.0         |          174.0          |      3944.0     |       52.0       |
| 2020-03-20 |        17438.0         |          229.0          |      5420.0     |       55.0       |
| 2020-03-21 |        23709.0         |          294.0          |      6271.0     |       65.0       |
| 2020-03-22 |        32341.0         |          405.0          |      8632.0     |      111.0       |
| 2020-03-23 |        42749.0         |          516.0          |     10408.0     |      111.0       |
| 2020-03-24 |        52658.0         |          670.0          |      9909.0     |      154.0       |
| 2020-03-25 |        64661.0         |          929.0          |     12003.0     |      259.0       |
| 2020-03-26 |        81781.0         |          1147.0         |     17120.0     |      218.0       |
| 2020-03-27 |        100292.0        |          1476.0         |     18511.0     |      329.0       |
| 2020-03-28 |        121099.0        |          2038.0         |     20807.0     |      562.0       |
| 2020-03-29 |        141701.0        |          2462.0         |     20602.0     |      424.0       |
| 2020-03-30 |        162126.0        |          2968.0         |     20425.0     |      506.0       |
| 2020-03-31 |        186082.0        |          3806.0         |     23956.0     |      838.0       |
| 2020-04-01 |        212814.0        |          4746.0         |     26732.0     |      940.0       |
| 2020-04-02 |        241626.0        |          5821.0         |     28812.0     |      1075.0      |
| 2020-04-03 |        273808.0        |          7007.0         |     32182.0     |      1186.0      |
| 2020-04-04 |        307036.0        |          8352.0         |     33228.0     |      1345.0      |
| 2020-04-05 |        333593.0        |          9534.0         |     26557.0     |      1182.0      |
| 2020-04-06 |        362955.0        |         10748.0         |     29362.0     |      1214.0      |
| 2020-04-07 |        393602.0        |         12675.0         |     30647.0     |      1927.0      |
| 2020-04-08 |        434698.0        |         14787.0         |     41096.0     |      2112.0      |
+------------+------------------------+-------------------------+-----------------+------------------+
